algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,34.8,0.975,4.993
SMHDD_1.0,alon_og_labeled,2,34.7,1.0,4.947
SMHDD_1.0,alon_og_labeled,3,34.7,0.975,3.51
SMHDD_1.0,alon_og_labeled,4,35.0,1.0,5.261
SMHDD_1.0,alon_og_labeled,5,35.4,1.0,3.917
SMHDD_1.0,alon_og_labeled,6,35.1,1.0,5.544
SMHDD_1.0,alon_og_labeled,7,34.6,0.975,4.937
SMHDD_1.0,alon_og_labeled,8,35.3,1.0,5.171
SMHDD_1.0,alon_og_labeled,9,33.7,0.975,2.498
SMHDD_1.0,alon_og_labeled,10,34.6,1.0,2.913
SMHDD_1.0,burczynski_og_labeled,1,47.1,0.9830508474576272,119.515
SMHDD_1.0,burczynski_og_labeled,2,46.0,0.9661016949152542,104.939
SMHDD_1.0,burczynski_og_labeled,3,46.8,0.9830508474576272,118.478
SMHDD_1.0,burczynski_og_labeled,4,49.4,0.9830508474576272,154.479
SMHDD_1.0,burczynski_og_labeled,5,47.6,1.0,101.545
SMHDD_1.0,burczynski_og_labeled,6,52.5,1.0,228.281
SMHDD_1.0,burczynski_og_labeled,7,51.6,1.0,218.381
SMHDD_1.0,burczynski_og_labeled,8,50.0,0.9830508474576272,151.51
SMHDD_1.0,burczynski_og_labeled,9,49.1,1.0,159.534
SMHDD_1.0,burczynski_og_labeled,10,46.6,0.9491525423728814,149.074
SMHDD_1.0,chiaretti_og_labeled,1,59.1,0.9594594594594594,73.585
SMHDD_1.0,chiaretti_og_labeled,2,57.5,0.9594594594594594,60.71
SMHDD_1.0,chiaretti_og_labeled,3,61.8,0.9459459459459459,116.407
SMHDD_1.0,chiaretti_og_labeled,4,62.5,0.9459459459459459,98.241
SMHDD_1.0,chiaretti_og_labeled,5,59.2,0.9459459459459459,77.031
SMHDD_1.0,chiaretti_og_labeled,6,63.5,0.9324324324324325,92.397
SMHDD_1.0,chiaretti_og_labeled,7,56.5,0.9459459459459459,68.737
SMHDD_1.0,chiaretti_og_labeled,8,60.2,0.9459459459459459,87.478
SMHDD_1.0,chiaretti_og_labeled,9,58.2,0.9594594594594594,77.156
SMHDD_1.0,chiaretti_og_labeled,10,63.5,0.9459459459459459,98.098
SMHDD_1.0,chin_og_labeled,1,61.6,0.9733333333333334,90.312
SMHDD_1.0,chin_og_labeled,2,63.1,0.9733333333333334,100.565
SMHDD_1.0,chin_og_labeled,3,62.3,0.9733333333333334,111.343
SMHDD_1.0,chin_og_labeled,4,62.9,0.9733333333333334,94.258
