algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,0.8158168574401665,1.0,2.532
SMHDD_1.0,alon_og_labeled,2,0.8249739854318419,1.0,2.76
SMHDD_1.0,alon_og_labeled,3,0.8253902185223726,1.0,3.416
SMHDD_1.0,alon_og_labeled,4,0.8222684703433923,1.0,3.475
SMHDD_1.0,alon_og_labeled,5,0.8276795005202915,1.0,3.505
SMHDD_1.0,alon_og_labeled,6,0.8332986472424556,1.0,3.383
SMHDD_1.0,alon_og_labeled,7,0.82684703433923,1.0,3.135
SMHDD_1.0,alon_og_labeled,8,0.8226847034339231,1.0,2.678
SMHDD_1.0,alon_og_labeled,9,0.8212278876170658,1.0,3.272
SMHDD_1.0,alon_og_labeled,10,0.8199791883454735,1.0,2.314
SMHDD_1.0,burczynski_og_labeled,1,0.9310930621861242,1.0,85.866
SMHDD_1.0,burczynski_og_labeled,2,0.9274722549445098,1.0,111.17
SMHDD_1.0,burczynski_og_labeled,3,0.9269266538533077,1.0,91.518
SMHDD_1.0,burczynski_og_labeled,4,0.9265794531589064,1.0,115.523
SMHDD_1.0,burczynski_og_labeled,5,0.9274722549445098,1.0,95.955
SMHDD_1.0,burczynski_og_labeled,6,0.9262322524645048,1.0,95.16
SMHDD_1.0,burczynski_og_labeled,7,0.9280426560853121,1.0,91.365
SMHDD_1.0,burczynski_og_labeled,8,0.928265856531713,1.0,94.385
SMHDD_1.0,burczynski_og_labeled,9,0.9276954553909107,1.0,83.088
SMHDD_1.0,burczynski_og_labeled,10,0.9272490544981089,1.0,97.323
SMHDD_1.0,chiaretti_og_labeled,1,0.856787109375,0.9864864864864865,42.138
SMHDD_1.0,chiaretti_og_labeled,2,0.853662109375,0.9594594594594594,46.55
SMHDD_1.0,chiaretti_og_labeled,3,0.85166015625,0.9864864864864865,41.941
SMHDD_1.0,chiaretti_og_labeled,4,0.865869140625,1.0,51.692
SMHDD_1.0,chiaretti_og_labeled,5,0.851708984375,0.9864864864864865,42.246
SMHDD_1.0,chiaretti_og_labeled,6,0.858935546875,0.9864864864864865,43.923
SMHDD_1.0,chiaretti_og_labeled,7,0.863525390625,0.9864864864864865,50.264
SMHDD_1.0,chiaretti_og_labeled,8,0.860400390625,0.9864864864864865,47.452
SMHDD_1.0,chiaretti_og_labeled,9,0.85712890625,0.9864864864864865,44.946
SMHDD_1.0,chiaretti_og_labeled,10,0.854345703125,0.9864864864864865,43.076
SMHDD_1.0,chin_og_labeled,1,0.8563918414248779,1.0,121.282
SMHDD_1.0,chin_og_labeled,2,0.8545532892846884,1.0,75.307
SMHDD_1.0,chin_og_labeled,3,0.8557598391266875,1.0,96.041
