algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-freq-8_binary,1,0.7829344432882415,0.925,3.446
SD,alon-pn-freq-8_binary,2,0.7829344432882415,0.925,3.436
SD,alon-pn-freq-8_binary,3,0.7829344432882415,0.925,3.42
SD,alon-pn-freq-8_binary,4,0.7829344432882415,0.925,3.393
SD,alon-pn-freq-8_binary,5,0.7829344432882415,0.925,3.426
SD,alon-pn-freq-8_binary,6,0.7829344432882415,0.925,3.372
SD,alon-pn-freq-8_binary,7,0.7829344432882415,0.925,3.398
SD,alon-pn-freq-8_binary,8,0.7829344432882415,0.925,3.421
SD,alon-pn-freq-8_binary,9,0.7829344432882415,0.925,3.422
SD,alon-pn-freq-8_binary,10,0.7829344432882415,0.925,3.738
SSDP+,alon-pn-freq-8_binary,1,0.8104058272632674,0.975,3.615
SSDP+,alon-pn-freq-8_binary,2,0.8066597294484913,0.975,3.991
SSDP+,alon-pn-freq-8_binary,3,0.8047866805411031,0.975,3.317
SSDP+,alon-pn-freq-8_binary,4,0.8024973985431844,0.975,3.584
SSDP+,alon-pn-freq-8_binary,5,0.8104058272632674,0.975,3.659
SSDP+,alon-pn-freq-8_binary,6,0.8081165452653487,0.975,3.581
SSDP+,alon-pn-freq-8_binary,7,0.8126951092611863,0.975,3.53
SSDP+,alon-pn-freq-8_binary,8,0.8029136316337151,0.975,3.604
SSDP+,alon-pn-freq-8_binary,9,0.7989594172736733,0.975,3.933
SSDP+,alon-pn-freq-8_binary,10,0.8043704474505724,0.975,3.318
SMHDD,alon-pn-freq-8_binary,1,0.8104058272632674,0.975,0.977
SMHDD,alon-pn-freq-8_binary,2,0.8066597294484913,0.975,1.099
SMHDD,alon-pn-freq-8_binary,3,0.8047866805411031,0.975,0.956
SMHDD,alon-pn-freq-8_binary,4,0.8024973985431844,0.975,1.049
SMHDD,alon-pn-freq-8_binary,5,0.8104058272632674,0.975,1.069
SMHDD,alon-pn-freq-8_binary,6,0.8081165452653487,0.975,0.981
SMHDD,alon-pn-freq-8_binary,7,0.8126951092611863,0.975,0.983
SMHDD,alon-pn-freq-8_binary,8,0.8029136316337151,0.975,0.94
SMHDD,alon-pn-freq-8_binary,9,0.7989594172736733,0.975,1.097
SMHDD,alon-pn-freq-8_binary,10,0.8043704474505724,0.975,0.893
SD,burczynski-pn-freq-8_binary,1,0.8536425072850145,0.8813559322033898,114.355
SD,burczynski-pn-freq-8_binary,2,0.8536425072850145,0.8813559322033898,114.486
SD,burczynski-pn-freq-8_binary,3,0.8536425072850145,0.8813559322033898,115.524
SD,burczynski-pn-freq-8_binary,4,0.8536425072850145,0.8813559322033898,115.006
SD,burczynski-pn-freq-8_binary,5,0.8536425072850145,0.8813559322033898,114.977
SD,burczynski-pn-freq-8_binary,6,0.8536425072850145,0.8813559322033898,114.471
SD,burczynski-pn-freq-8_binary,7,0.8536425072850145,0.8813559322033898,114.43
SD,burczynski-pn-freq-8_binary,8,0.8536425072850145,0.8813559322033898,114.28
SD,burczynski-pn-freq-8_binary,9,0.8536425072850145,0.8813559322033898,114.157
SD,burczynski-pn-freq-8_binary,10,0.8536425072850145,0.8813559322033898,114.274
SSDP+,burczynski-pn-freq-8_binary,1,0.9268026536053071,1.0,136.395
SSDP+,burczynski-pn-freq-8_binary,2,0.9296298592597185,1.0,142.804
SSDP+,burczynski-pn-freq-8_binary,3,0.9304234608469215,1.0,134.466
SSDP+,burczynski-pn-freq-8_binary,4,0.9280426560853121,1.0,148.091
SSDP+,burczynski-pn-freq-8_binary,5,0.9284890569781139,1.0,151.897
SSDP+,burczynski-pn-freq-8_binary,6,0.9296298592597184,1.0,142.48
SSDP+,burczynski-pn-freq-8_binary,7,0.9290594581189161,1.0,140.921
SSDP+,burczynski-pn-freq-8_binary,8,0.930522661045322,1.0,155.547
SSDP+,burczynski-pn-freq-8_binary,9,0.9296298592597185,1.0,132.449
SSDP+,burczynski-pn-freq-8_binary,10,0.930522661045322,1.0,163.364
SMHDD,burczynski-pn-freq-8_binary,1,0.9268026536053071,1.0,32.281
SMHDD,burczynski-pn-freq-8_binary,2,0.9296298592597185,1.0,36.233
SMHDD,burczynski-pn-freq-8_binary,3,0.9304234608469215,1.0,33.408
SMHDD,burczynski-pn-freq-8_binary,4,0.9280426560853121,1.0,38.819
SMHDD,burczynski-pn-freq-8_binary,5,0.9284890569781139,1.0,39.581
SMHDD,burczynski-pn-freq-8_binary,6,0.9296298592597184,1.0,35.034
SMHDD,burczynski-pn-freq-8_binary,7,0.9290594581189161,1.0,36.335
SMHDD,burczynski-pn-freq-8_binary,8,0.930522661045322,1.0,40.518
SMHDD,burczynski-pn-freq-8_binary,9,0.9296298592597185,1.0,33.136
SMHDD,burczynski-pn-freq-8_binary,10,0.930522661045322,1.0,43.869
SD,chiaretti-pn-freq-8_binary,1,0.7541015625,0.8108108108108109,58.762
SD,chiaretti-pn-freq-8_binary,2,0.7541015625,0.8108108108108109,59.277
SD,chiaretti-pn-freq-8_binary,3,0.7541015625,0.8108108108108109,59.083
SD,chiaretti-pn-freq-8_binary,4,0.7541015625,0.8108108108108109,59.123
SD,chiaretti-pn-freq-8_binary,5,0.7541015625,0.8108108108108109,59.074
SD,chiaretti-pn-freq-8_binary,6,0.7541015625,0.8108108108108109,59.194
SD,chiaretti-pn-freq-8_binary,7,0.7541015625,0.8108108108108109,59.168
SD,chiaretti-pn-freq-8_binary,8,0.7541015625,0.8108108108108109,59.273
SD,chiaretti-pn-freq-8_binary,9,0.7541015625,0.8108108108108109,59.235
SD,chiaretti-pn-freq-8_binary,10,0.7541015625,0.8108108108108109,59.202
SSDP+,chiaretti-pn-freq-8_binary,1,0.814453125,0.9864864864864865,92.53
SSDP+,chiaretti-pn-freq-8_binary,2,0.8111328125,0.9864864864864865,86.917
SSDP+,chiaretti-pn-freq-8_binary,3,0.80849609375,0.972972972972973,71.726
SSDP+,chiaretti-pn-freq-8_binary,4,0.794189453125,1.0,70.127
SSDP+,chiaretti-pn-freq-8_binary,5,0.80703125,0.972972972972973,60.389
SSDP+,chiaretti-pn-freq-8_binary,6,0.802099609375,0.9864864864864865,63.634
SSDP+,chiaretti-pn-freq-8_binary,7,0.8048828125,0.972972972972973,82.697
SSDP+,chiaretti-pn-freq-8_binary,8,0.810791015625,0.972972972972973,94.31
SSDP+,chiaretti-pn-freq-8_binary,9,0.818701171875,1.0,76.606
SSDP+,chiaretti-pn-freq-8_binary,10,0.809814453125,0.9864864864864865,68.852
SMHDD,chiaretti-pn-freq-8_binary,1,0.814453125,0.9864864864864865,21.49
SMHDD,chiaretti-pn-freq-8_binary,2,0.8111328125,0.9864864864864865,20.364
