algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-width-8_binary,1,22.6,0.625,1.332
SD,alon-pn-width-8_binary,2,22.6,0.625,1.375
SD,alon-pn-width-8_binary,3,22.6,0.625,1.362
SD,alon-pn-width-8_binary,4,22.6,0.625,1.361
SD,alon-pn-width-8_binary,5,22.6,0.625,1.361
SD,alon-pn-width-8_binary,6,22.6,0.625,1.361
SD,alon-pn-width-8_binary,7,22.6,0.625,1.365
SD,alon-pn-width-8_binary,8,22.6,0.625,1.366
SD,alon-pn-width-8_binary,9,22.6,0.625,1.361
SD,alon-pn-width-8_binary,10,22.6,0.625,1.362
SSDP+,alon-pn-width-8_binary,1,23.5,0.95,1.866
SSDP+,alon-pn-width-8_binary,2,28.0,0.875,3.2
SSDP+,alon-pn-width-8_binary,3,28.3,0.8,3.554
SSDP+,alon-pn-width-8_binary,4,22.6,0.85,1.265
SSDP+,alon-pn-width-8_binary,5,27.2,0.8,3.059
SSDP+,alon-pn-width-8_binary,6,27.7,0.925,2.892
SSDP+,alon-pn-width-8_binary,7,25.1,0.95,2.425
SSDP+,alon-pn-width-8_binary,8,29.0,0.925,3.525
SSDP+,alon-pn-width-8_binary,9,32.6,0.925,4.589
SSDP+,alon-pn-width-8_binary,10,23.4,0.9,1.982
SMHDD,alon-pn-width-8_binary,1,23.5,0.95,0.648
SMHDD,alon-pn-width-8_binary,2,28.0,0.875,1.138
SMHDD,alon-pn-width-8_binary,3,28.3,0.8,1.286
SMHDD,alon-pn-width-8_binary,4,22.6,0.85,0.339
SMHDD,alon-pn-width-8_binary,5,27.2,0.8,1.113
SMHDD,alon-pn-width-8_binary,6,27.7,0.925,0.999
SMHDD,alon-pn-width-8_binary,7,25.1,0.95,0.875
SMHDD,alon-pn-width-8_binary,8,29.0,0.925,1.226
SMHDD,alon-pn-width-8_binary,9,32.6,0.925,1.62
SMHDD,alon-pn-width-8_binary,10,23.4,0.9,0.647
SD,burczynski-pn-width-8_binary,1,19.8,0.8813559322033898,25.362
SD,burczynski-pn-width-8_binary,2,19.8,0.8813559322033898,26.203
SD,burczynski-pn-width-8_binary,3,19.8,0.8813559322033898,26.041
SD,burczynski-pn-width-8_binary,4,19.8,0.8813559322033898,25.892
SD,burczynski-pn-width-8_binary,5,19.8,0.8813559322033898,25.148
SD,burczynski-pn-width-8_binary,6,19.8,0.8813559322033898,25.897
SD,burczynski-pn-width-8_binary,7,19.8,0.8813559322033898,25.863
SD,burczynski-pn-width-8_binary,8,19.8,0.8813559322033898,25.799
SD,burczynski-pn-width-8_binary,9,19.8,0.8813559322033898,25.762
SD,burczynski-pn-width-8_binary,10,19.8,0.8813559322033898,25.816
SSDP+,burczynski-pn-width-8_binary,1,45.2,0.8983050847457628,139.34
SSDP+,burczynski-pn-width-8_binary,2,43.6,0.8813559322033898,109.975
SSDP+,burczynski-pn-width-8_binary,3,43.1,0.7966101694915254,98.373
SSDP+,burczynski-pn-width-8_binary,4,43.4,0.7966101694915254,114.51
SSDP+,burczynski-pn-width-8_binary,5,44.0,0.8813559322033898,113.142
SSDP+,burczynski-pn-width-8_binary,6,42.9,0.7966101694915254,66.136
