algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-freq-4_nominal,1,15.3,0.925,0.368
SD,alon-pn-freq-4_nominal,2,15.3,0.925,0.331
SD,alon-pn-freq-4_nominal,3,15.3,0.925,0.349
SD,alon-pn-freq-4_nominal,4,15.3,0.925,0.355
SD,alon-pn-freq-4_nominal,5,15.3,0.925,0.348
SD,alon-pn-freq-4_nominal,6,15.3,0.925,0.342
SD,alon-pn-freq-4_nominal,7,15.3,0.925,0.342
SD,alon-pn-freq-4_nominal,8,15.3,0.925,0.35
SD,alon-pn-freq-4_nominal,9,15.3,0.925,0.349
SD,alon-pn-freq-4_nominal,10,15.3,0.925,0.348
SSDP+,alon-pn-freq-4_nominal,1,15.3,0.925,0.25
SSDP+,alon-pn-freq-4_nominal,2,15.3,0.925,0.212
SSDP+,alon-pn-freq-4_nominal,3,15.3,0.925,0.205
SSDP+,alon-pn-freq-4_nominal,4,15.3,0.925,0.203
SSDP+,alon-pn-freq-4_nominal,5,15.3,0.925,0.201
SSDP+,alon-pn-freq-4_nominal,6,15.3,0.925,0.202
SSDP+,alon-pn-freq-4_nominal,7,15.3,0.925,0.202
SSDP+,alon-pn-freq-4_nominal,8,15.3,0.925,0.195
SSDP+,alon-pn-freq-4_nominal,9,15.3,0.925,0.195
SSDP+,alon-pn-freq-4_nominal,10,15.3,0.925,0.194
SMHDD,alon-pn-freq-4_nominal,1,15.3,0.925,0.136
SMHDD,alon-pn-freq-4_nominal,2,15.3,0.925,0.064
SMHDD,alon-pn-freq-4_nominal,3,15.3,0.925,0.059
SMHDD,alon-pn-freq-4_nominal,4,15.3,0.925,0.057
SMHDD,alon-pn-freq-4_nominal,5,15.3,0.925,0.056
SMHDD,alon-pn-freq-4_nominal,6,15.3,0.925,0.054
SMHDD,alon-pn-freq-4_nominal,7,15.3,0.925,0.054
SMHDD,alon-pn-freq-4_nominal,8,15.3,0.925,0.055
SMHDD,alon-pn-freq-4_nominal,9,15.3,0.925,0.053
SMHDD,alon-pn-freq-4_nominal,10,15.3,0.925,0.054
SD,burczynski-pn-freq-4_nominal,1,24.9,0.6949152542372882,11.606
SD,burczynski-pn-freq-4_nominal,2,24.9,0.6949152542372882,11.699
SD,burczynski-pn-freq-4_nominal,3,24.9,0.6949152542372882,11.681
SD,burczynski-pn-freq-4_nominal,4,24.9,0.6949152542372882,11.624
SD,burczynski-pn-freq-4_nominal,5,24.9,0.6949152542372882,11.634
SD,burczynski-pn-freq-4_nominal,6,24.9,0.6949152542372882,11.698
SD,burczynski-pn-freq-4_nominal,7,24.9,0.6949152542372882,11.626
SD,burczynski-pn-freq-4_nominal,8,24.9,0.6949152542372882,11.639
SD,burczynski-pn-freq-4_nominal,9,24.9,0.6949152542372882,11.615
SD,burczynski-pn-freq-4_nominal,10,24.9,0.6949152542372882,11.597
SSDP+,burczynski-pn-freq-4_nominal,1,24.8,0.7288135593220338,7.962
SSDP+,burczynski-pn-freq-4_nominal,2,24.8,0.6949152542372882,8.466
SSDP+,burczynski-pn-freq-4_nominal,3,24.8,0.6949152542372882,8.495
SSDP+,burczynski-pn-freq-4_nominal,4,24.8,0.6949152542372882,8.218
SSDP+,burczynski-pn-freq-4_nominal,5,24.8,0.7288135593220338,8.482
SSDP+,burczynski-pn-freq-4_nominal,6,24.8,0.6949152542372882,8.887
SSDP+,burczynski-pn-freq-4_nominal,7,24.8,0.711864406779661,8.684
SSDP+,burczynski-pn-freq-4_nominal,8,24.8,0.6949152542372882,7.987
SSDP+,burczynski-pn-freq-4_nominal,9,24.8,0.6949152542372882,8.526
SSDP+,burczynski-pn-freq-4_nominal,10,24.8,0.6949152542372882,8.04
SMHDD,burczynski-pn-freq-4_nominal,1,24.8,0.7288135593220338,1.615
SMHDD,burczynski-pn-freq-4_nominal,2,24.8,0.6949152542372882,1.85
SMHDD,burczynski-pn-freq-4_nominal,3,24.8,0.6949152542372882,1.861
SMHDD,burczynski-pn-freq-4_nominal,4,24.8,0.6949152542372882,1.802
SMHDD,burczynski-pn-freq-4_nominal,5,24.8,0.7288135593220338,1.907
SMHDD,burczynski-pn-freq-4_nominal,6,24.8,0.6949152542372882,2.001
SMHDD,burczynski-pn-freq-4_nominal,7,24.8,0.711864406779661,1.94
SMHDD,burczynski-pn-freq-4_nominal,8,24.8,0.6949152542372882,1.764
SMHDD,burczynski-pn-freq-4_nominal,9,24.8,0.6949152542372882,1.874
SMHDD,burczynski-pn-freq-4_nominal,10,24.8,0.6949152542372882,1.741
SD,chiaretti-pn-freq-4_nominal,1,26.4,0.4594594594594595,6.313
SD,chiaretti-pn-freq-4_nominal,2,26.4,0.4594594594594595,6.368
SD,chiaretti-pn-freq-4_nominal,3,26.4,0.4594594594594595,6.32
SD,chiaretti-pn-freq-4_nominal,4,26.4,0.4594594594594595,6.39
SD,chiaretti-pn-freq-4_nominal,5,26.4,0.4594594594594595,6.353
SD,chiaretti-pn-freq-4_nominal,6,26.4,0.4594594594594595,6.345
SD,chiaretti-pn-freq-4_nominal,7,26.4,0.4594594594594595,6.36
SD,chiaretti-pn-freq-4_nominal,8,26.4,0.4594594594594595,6.368
SD,chiaretti-pn-freq-4_nominal,9,26.4,0.4594594594594595,6.381
SD,chiaretti-pn-freq-4_nominal,10,26.4,0.4594594594594595,6.36
SSDP+,chiaretti-pn-freq-4_nominal,1,26.4,0.4594594594594595,4.317
SSDP+,chiaretti-pn-freq-4_nominal,2,26.4,0.44594594594594594,4.37
SSDP+,chiaretti-pn-freq-4_nominal,3,26.4,0.44594594594594594,4.44
SSDP+,chiaretti-pn-freq-4_nominal,4,26.4,0.4594594594594595,4.28
SSDP+,chiaretti-pn-freq-4_nominal,5,26.4,0.4594594594594595,4.188
SSDP+,chiaretti-pn-freq-4_nominal,6,26.4,0.44594594594594594,4.387
SSDP+,chiaretti-pn-freq-4_nominal,7,26.4,0.4594594594594595,4.103
SSDP+,chiaretti-pn-freq-4_nominal,8,26.4,0.44594594594594594,4.449
SSDP+,chiaretti-pn-freq-4_nominal,9,26.4,0.4594594594594595,4.854
SSDP+,chiaretti-pn-freq-4_nominal,10,26.4,0.4594594594594595,4.293
SMHDD,chiaretti-pn-freq-4_nominal,1,26.4,0.4594594594594595,0.835
SMHDD,chiaretti-pn-freq-4_nominal,2,26.4,0.44594594594594594,0.917
SMHDD,chiaretti-pn-freq-4_nominal,3,26.4,0.44594594594594594,0.874
SMHDD,chiaretti-pn-freq-4_nominal,4,26.4,0.4594594594594595,0.852
SMHDD,chiaretti-pn-freq-4_nominal,5,26.4,0.4594594594594595,0.814
SMHDD,chiaretti-pn-freq-4_nominal,6,26.4,0.44594594594594594,0.888
SMHDD,chiaretti-pn-freq-4_nominal,7,26.4,0.4594594594594595,0.835
SMHDD,chiaretti-pn-freq-4_nominal,8,26.4,0.44594594594594594,0.902
SMHDD,chiaretti-pn-freq-4_nominal,9,26.4,0.4594594594594595,0.975
SMHDD,chiaretti-pn-freq-4_nominal,10,26.4,0.4594594594594595,0.865
SD,chin-pn-freq-4_nominal,1,27.5,0.9733333333333334,9.835
SD,chin-pn-freq-4_nominal,2,27.5,0.9733333333333334,9.888
SD,chin-pn-freq-4_nominal,3,27.5,0.9733333333333334,10.087
SD,chin-pn-freq-4_nominal,4,27.5,0.9733333333333334,9.902
SD,chin-pn-freq-4_nominal,5,27.5,0.9733333333333334,9.982
SD,chin-pn-freq-4_nominal,6,27.5,0.9733333333333334,9.999
SD,chin-pn-freq-4_nominal,7,27.5,0.9733333333333334,9.965
SD,chin-pn-freq-4_nominal,8,27.5,0.9733333333333334,9.938
SD,chin-pn-freq-4_nominal,9,27.5,0.9733333333333334,9.981
SD,chin-pn-freq-4_nominal,10,27.5,0.9733333333333334,9.943
SSDP+,chin-pn-freq-4_nominal,1,27.8,0.9466666666666667,7.276
SSDP+,chin-pn-freq-4_nominal,2,27.8,0.9466666666666667,8.368
SSDP+,chin-pn-freq-4_nominal,3,27.7,0.9466666666666667,7.591
SSDP+,chin-pn-freq-4_nominal,4,28.0,0.9466666666666667,7.675
SSDP+,chin-pn-freq-4_nominal,5,28.0,0.9466666666666667,8.406
