algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-freq-8_binary,1,26.8,0.7,1.553
SD,alon-pn-freq-8_binary,2,26.8,0.7,1.544
SD,alon-pn-freq-8_binary,3,26.8,0.7,1.535
SD,alon-pn-freq-8_binary,4,26.8,0.7,1.566
SD,alon-pn-freq-8_binary,5,26.8,0.7,1.526
SD,alon-pn-freq-8_binary,6,26.8,0.7,1.541
SD,alon-pn-freq-8_binary,7,26.8,0.7,1.558
SD,alon-pn-freq-8_binary,8,26.8,0.7,1.544
SD,alon-pn-freq-8_binary,9,26.8,0.7,1.533
SD,alon-pn-freq-8_binary,10,26.8,0.7,1.595
SSDP+,alon-pn-freq-8_binary,1,31.5,0.9,3.632
SSDP+,alon-pn-freq-8_binary,2,32.8,0.9,4.839
SSDP+,alon-pn-freq-8_binary,3,32.5,0.95,5.59
SSDP+,alon-pn-freq-8_binary,4,33.5,0.975,4.958
SSDP+,alon-pn-freq-8_binary,5,32.4,0.9,4.956
SSDP+,alon-pn-freq-8_binary,6,29.5,0.925,3.331
SSDP+,alon-pn-freq-8_binary,7,29.6,0.95,3.416
SSDP+,alon-pn-freq-8_binary,8,34.9,0.975,5.357
SSDP+,alon-pn-freq-8_binary,9,33.8,0.95,5.499
SSDP+,alon-pn-freq-8_binary,10,27.5,0.95,2.991
SMHDD,alon-pn-freq-8_binary,1,31.5,0.9,1.173
SMHDD,alon-pn-freq-8_binary,2,32.8,0.9,1.549
SMHDD,alon-pn-freq-8_binary,3,32.5,0.95,1.78
SMHDD,alon-pn-freq-8_binary,4,33.5,0.975,1.674
SMHDD,alon-pn-freq-8_binary,5,32.4,0.9,1.609
SMHDD,alon-pn-freq-8_binary,6,29.5,0.925,1.031
SMHDD,alon-pn-freq-8_binary,7,29.6,0.95,1.019
SMHDD,alon-pn-freq-8_binary,8,34.9,0.975,1.569
SMHDD,alon-pn-freq-8_binary,9,33.8,0.95,1.72
SMHDD,alon-pn-freq-8_binary,10,27.5,0.95,0.849
SD,burczynski-pn-freq-8_binary,1,16.0,0.7288135593220338,26.975
SD,burczynski-pn-freq-8_binary,2,16.0,0.7288135593220338,28.085
SD,burczynski-pn-freq-8_binary,3,16.0,0.7288135593220338,28.375
SD,burczynski-pn-freq-8_binary,4,16.0,0.7288135593220338,28.188
SD,burczynski-pn-freq-8_binary,5,16.0,0.7288135593220338,28.322
SD,burczynski-pn-freq-8_binary,6,16.0,0.7288135593220338,28.304
SD,burczynski-pn-freq-8_binary,7,16.0,0.7288135593220338,28.439
SD,burczynski-pn-freq-8_binary,8,16.0,0.7288135593220338,28.398
SD,burczynski-pn-freq-8_binary,9,16.0,0.7288135593220338,28.404
SD,burczynski-pn-freq-8_binary,10,16.0,0.7288135593220338,28.422
SSDP+,burczynski-pn-freq-8_binary,1,43.2,0.8135593220338984,157.347
SSDP+,burczynski-pn-freq-8_binary,2,39.8,0.9491525423728814,126.699
SSDP+,burczynski-pn-freq-8_binary,3,42.6,0.8135593220338984,138.463
SSDP+,burczynski-pn-freq-8_binary,4,41.1,0.9661016949152542,143.267
SSDP+,burczynski-pn-freq-8_binary,5,42.7,0.847457627118644,126.301
SSDP+,burczynski-pn-freq-8_binary,6,43.8,0.8983050847457628,167.613
SSDP+,burczynski-pn-freq-8_binary,7,42.4,0.9322033898305084,158.252
SSDP+,burczynski-pn-freq-8_binary,8,42.2,0.9830508474576272,167.415
SSDP+,burczynski-pn-freq-8_binary,9,45.5,0.9491525423728814,230.924
SSDP+,burczynski-pn-freq-8_binary,10,40.3,0.9830508474576272,116.033
SMHDD,burczynski-pn-freq-8_binary,1,43.2,0.8135593220338984,47.193
SMHDD,burczynski-pn-freq-8_binary,2,39.8,0.9491525423728814,29.809
SMHDD,burczynski-pn-freq-8_binary,3,42.6,0.8135593220338984,33.179
SMHDD,burczynski-pn-freq-8_binary,4,41.1,0.9661016949152542,35.826
SMHDD,burczynski-pn-freq-8_binary,5,42.7,0.847457627118644,30.033
SMHDD,burczynski-pn-freq-8_binary,6,43.8,0.8983050847457628,41.24
SMHDD,burczynski-pn-freq-8_binary,7,42.4,0.9322033898305084,40.036
SMHDD,burczynski-pn-freq-8_binary,8,42.2,0.9830508474576272,39.253
SMHDD,burczynski-pn-freq-8_binary,9,45.5,0.9491525423728814,63.73
SMHDD,burczynski-pn-freq-8_binary,10,40.3,0.9830508474576272,29.777
SD,chiaretti-pn-freq-8_binary,1,16.0,0.6621621621621622,14.515
SD,chiaretti-pn-freq-8_binary,2,16.0,0.6621621621621622,14.622
SD,chiaretti-pn-freq-8_binary,3,16.0,0.6621621621621622,14.807
SD,chiaretti-pn-freq-8_binary,4,16.0,0.6621621621621622,14.436
SD,chiaretti-pn-freq-8_binary,5,16.0,0.6621621621621622,14.818
SD,chiaretti-pn-freq-8_binary,6,16.0,0.6621621621621622,14.716
SD,chiaretti-pn-freq-8_binary,7,16.0,0.6621621621621622,14.772
SD,chiaretti-pn-freq-8_binary,8,16.0,0.6621621621621622,14.592
SD,chiaretti-pn-freq-8_binary,9,16.0,0.6621621621621622,14.659
SD,chiaretti-pn-freq-8_binary,10,16.0,0.6621621621621622,14.549
SSDP+,chiaretti-pn-freq-8_binary,1,49.2,0.7297297297297297,82.288
SSDP+,chiaretti-pn-freq-8_binary,2,47.1,0.9324324324324325,64.157
SSDP+,chiaretti-pn-freq-8_binary,3,47.6,0.7027027027027027,85.055
SSDP+,chiaretti-pn-freq-8_binary,4,46.7,0.7027027027027027,63.936
SSDP+,chiaretti-pn-freq-8_binary,5,51.2,0.8648648648648649,87.085
SSDP+,chiaretti-pn-freq-8_binary,6,47.5,0.9054054054054054,70.726
SSDP+,chiaretti-pn-freq-8_binary,7,46.7,0.8783783783783784,65.301
SSDP+,chiaretti-pn-freq-8_binary,8,47.6,0.8918918918918919,75.287
SSDP+,chiaretti-pn-freq-8_binary,9,47.5,0.8918918918918919,65.296
SSDP+,chiaretti-pn-freq-8_binary,10,50.7,0.9459459459459459,87.149
SMHDD,chiaretti-pn-freq-8_binary,1,49.2,0.7297297297297297,21.271
SMHDD,chiaretti-pn-freq-8_binary,2,47.1,0.9324324324324325,16.824
SMHDD,chiaretti-pn-freq-8_binary,3,47.6,0.7027027027027027,23.792
SMHDD,chiaretti-pn-freq-8_binary,4,46.7,0.7027027027027027,15.607
SMHDD,chiaretti-pn-freq-8_binary,5,51.2,0.8648648648648649,21.949
SMHDD,chiaretti-pn-freq-8_binary,6,47.5,0.9054054054054054,16.67
SMHDD,chiaretti-pn-freq-8_binary,7,46.7,0.8783783783783784,16.846
SMHDD,chiaretti-pn-freq-8_binary,8,47.6,0.8918918918918919,20.247
SMHDD,chiaretti-pn-freq-8_binary,9,47.5,0.8918918918918919,16.312
SMHDD,chiaretti-pn-freq-8_binary,10,50.7,0.9459459459459459,22.796
SD,chin-pn-freq-8_binary,1,22.2,0.8933333333333333,24.57
SD,chin-pn-freq-8_binary,2,22.2,0.8933333333333333,25.506
SD,chin-pn-freq-8_binary,3,22.2,0.8933333333333333,25.013
SD,chin-pn-freq-8_binary,4,22.2,0.8933333333333333,24.139
SD,chin-pn-freq-8_binary,5,22.2,0.8933333333333333,24.837
SD,chin-pn-freq-8_binary,6,22.2,0.8933333333333333,25.685
SD,chin-pn-freq-8_binary,7,22.2,0.8933333333333333,25.76
SD,chin-pn-freq-8_binary,8,22.2,0.8933333333333333,25.705
SD,chin-pn-freq-8_binary,9,22.2,0.8933333333333333,25.65
SD,chin-pn-freq-8_binary,10,22.2,0.8933333333333333,25.788
SSDP+,chin-pn-freq-8_binary,1,49.8,0.72,93.896
SSDP+,chin-pn-freq-8_binary,2,49.8,0.9466666666666667,89.408
SSDP+,chin-pn-freq-8_binary,3,58.5,0.8933333333333333,179.483
SSDP+,chin-pn-freq-8_binary,4,50.8,0.92,106.5
SSDP+,chin-pn-freq-8_binary,5,50.5,0.8266666666666667,108.869
SSDP+,chin-pn-freq-8_binary,6,53.7,0.8933333333333333,100.53
SSDP+,chin-pn-freq-8_binary,7,50.1,0.88,115.122
SSDP+,chin-pn-freq-8_binary,8,50.2,0.9466666666666667,93.697
SSDP+,chin-pn-freq-8_binary,9,50.3,0.92,96.909
SSDP+,chin-pn-freq-8_binary,10,51.9,0.9066666666666666,93.76
SMHDD,chin-pn-freq-8_binary,1,49.8,0.72,26.548
SMHDD,chin-pn-freq-8_binary,2,49.8,0.9466666666666667,22.5
SMHDD,chin-pn-freq-8_binary,3,58.5,0.8933333333333333,49.18
SMHDD,chin-pn-freq-8_binary,4,50.8,0.92,30.092
SMHDD,chin-pn-freq-8_binary,5,50.5,0.8266666666666667,29.571
SMHDD,chin-pn-freq-8_binary,6,53.7,0.8933333333333333,25.362
SMHDD,chin-pn-freq-8_binary,7,50.1,0.88,34.984
SMHDD,chin-pn-freq-8_binary,8,50.2,0.9466666666666667,22.998
SMHDD,chin-pn-freq-8_binary,9,50.3,0.92,25.188
SMHDD,chin-pn-freq-8_binary,10,51.9,0.9066666666666666,25.48
SD,chowdary-pn-freq-8_binary,1,60.4,1.0,38.41
SD,chowdary-pn-freq-8_binary,2,60.4,1.0,39.833
SD,chowdary-pn-freq-8_binary,3,60.4,1.0,40.153
SD,chowdary-pn-freq-8_binary,4,60.4,1.0,38.547
SD,chowdary-pn-freq-8_binary,5,60.4,1.0,36.664
SD,chowdary-pn-freq-8_binary,6,60.4,1.0,36.832
SD,chowdary-pn-freq-8_binary,7,60.4,1.0,36.604
SD,chowdary-pn-freq-8_binary,8,60.4,1.0,36.61
SD,chowdary-pn-freq-8_binary,9,60.4,1.0,36.801
SD,chowdary-pn-freq-8_binary,10,60.4,1.0,36.667
SSDP+,chowdary-pn-freq-8_binary,1,56.6,1.0,47.206
