algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-freq-2_nominal,1,0.5575442247658688,0.925,0.315
SD,alon-pn-freq-2_nominal,2,0.5575442247658688,0.925,0.267
SD,alon-pn-freq-2_nominal,3,0.5575442247658688,0.925,0.259
SD,alon-pn-freq-2_nominal,4,0.5575442247658688,0.925,0.259
SD,alon-pn-freq-2_nominal,5,0.5575442247658688,0.925,0.265
SD,alon-pn-freq-2_nominal,6,0.5575442247658688,0.925,0.262
SD,alon-pn-freq-2_nominal,7,0.5575442247658688,0.925,0.256
SD,alon-pn-freq-2_nominal,8,0.5575442247658688,0.925,0.256
SD,alon-pn-freq-2_nominal,9,0.5575442247658688,0.925,0.255
SD,alon-pn-freq-2_nominal,10,0.5575442247658688,0.925,0.257
SSDP+,alon-pn-freq-2_nominal,1,0.5506763787721124,0.925,0.214
SSDP+,alon-pn-freq-2_nominal,2,0.5506763787721124,0.925,0.173
SSDP+,alon-pn-freq-2_nominal,3,0.5529656607700313,0.925,0.18
SSDP+,alon-pn-freq-2_nominal,4,0.5506763787721124,0.925,0.151
SSDP+,alon-pn-freq-2_nominal,5,0.5529656607700313,0.925,0.156
SSDP+,alon-pn-freq-2_nominal,6,0.5548387096774194,0.925,0.155
SSDP+,alon-pn-freq-2_nominal,7,0.5548387096774194,0.925,0.154
SSDP+,alon-pn-freq-2_nominal,8,0.5529656607700313,0.925,0.17
SSDP+,alon-pn-freq-2_nominal,9,0.5506763787721124,0.925,0.154
SSDP+,alon-pn-freq-2_nominal,10,0.5502601456815818,0.925,0.148
SMHDD,alon-pn-freq-2_nominal,1,0.5506763787721124,0.925,0.13
SMHDD,alon-pn-freq-2_nominal,2,0.5506763787721124,0.925,0.057
SMHDD,alon-pn-freq-2_nominal,3,0.5529656607700313,0.925,0.061
SMHDD,alon-pn-freq-2_nominal,4,0.5506763787721124,0.925,0.051
SMHDD,alon-pn-freq-2_nominal,5,0.5529656607700313,0.925,0.05
SMHDD,alon-pn-freq-2_nominal,6,0.5548387096774194,0.925,0.05
SMHDD,alon-pn-freq-2_nominal,7,0.5548387096774194,0.925,0.053
SMHDD,alon-pn-freq-2_nominal,8,0.5529656607700313,0.925,0.054
SMHDD,alon-pn-freq-2_nominal,9,0.5506763787721124,0.925,0.052
SMHDD,alon-pn-freq-2_nominal,10,0.5502601456815818,0.925,0.048
