algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-freq-4_binary,1,0.6738813735691986,0.95,1.517
SD,alon-pn-freq-4_binary,2,0.6738813735691986,0.95,1.509
SD,alon-pn-freq-4_binary,3,0.6738813735691986,0.95,1.502
SD,alon-pn-freq-4_binary,4,0.6738813735691986,0.95,1.503
SD,alon-pn-freq-4_binary,5,0.6738813735691986,0.95,1.491
SD,alon-pn-freq-4_binary,6,0.6738813735691986,0.95,1.507
SD,alon-pn-freq-4_binary,7,0.6738813735691986,0.95,1.51
SD,alon-pn-freq-4_binary,8,0.6738813735691986,0.95,1.517
SD,alon-pn-freq-4_binary,9,0.6738813735691986,0.95,1.499
SD,alon-pn-freq-4_binary,10,0.6738813735691986,0.95,1.507
SSDP+,alon-pn-freq-4_binary,1,0.6701352757544224,0.925,0.918
SSDP+,alon-pn-freq-4_binary,2,0.673465140478668,0.95,0.749
SSDP+,alon-pn-freq-4_binary,3,0.6738813735691986,0.95,0.766
SSDP+,alon-pn-freq-4_binary,4,0.673465140478668,0.95,0.735
SSDP+,alon-pn-freq-4_binary,5,0.6697190426638917,0.95,0.888
SSDP+,alon-pn-freq-4_binary,6,0.6697190426638917,0.925,0.848
SSDP+,alon-pn-freq-4_binary,7,0.673465140478668,0.95,0.774
SSDP+,alon-pn-freq-4_binary,8,0.6701352757544224,0.95,0.972
SSDP+,alon-pn-freq-4_binary,9,0.673465140478668,0.95,0.685
SSDP+,alon-pn-freq-4_binary,10,0.6711758584807491,0.95,0.742
SMHDD,alon-pn-freq-4_binary,1,0.6701352757544224,0.925,0.36
SMHDD,alon-pn-freq-4_binary,2,0.673465140478668,0.95,0.214
SMHDD,alon-pn-freq-4_binary,3,0.6738813735691986,0.95,0.219
SMHDD,alon-pn-freq-4_binary,4,0.673465140478668,0.95,0.206
SMHDD,alon-pn-freq-4_binary,5,0.6697190426638917,0.95,0.271
SMHDD,alon-pn-freq-4_binary,6,0.6697190426638917,0.925,0.276
SMHDD,alon-pn-freq-4_binary,7,0.673465140478668,0.95,0.215
SMHDD,alon-pn-freq-4_binary,8,0.6701352757544224,0.95,0.324
SMHDD,alon-pn-freq-4_binary,9,0.673465140478668,0.95,0.194
SMHDD,alon-pn-freq-4_binary,10,0.6711758584807491,0.95,0.215
SD,burczynski-pn-freq-4_binary,1,0.7710087420174841,0.9830508474576272,44.273
SD,burczynski-pn-freq-4_binary,2,0.7710087420174841,0.9830508474576272,44.224
SD,burczynski-pn-freq-4_binary,3,0.7710087420174841,0.9830508474576272,44.267
SD,burczynski-pn-freq-4_binary,4,0.7710087420174841,0.9830508474576272,44.457
SD,burczynski-pn-freq-4_binary,5,0.7710087420174841,0.9830508474576272,44.307
SD,burczynski-pn-freq-4_binary,6,0.7710087420174841,0.9830508474576272,44.409
SD,burczynski-pn-freq-4_binary,7,0.7710087420174841,0.9830508474576272,44.512
SD,burczynski-pn-freq-4_binary,8,0.7710087420174841,0.9830508474576272,44.646
SD,burczynski-pn-freq-4_binary,9,0.7710087420174841,0.9830508474576272,44.659
SD,burczynski-pn-freq-4_binary,10,0.7710087420174841,0.9830508474576272,44.47
SSDP+,burczynski-pn-freq-4_binary,1,0.8329344658689317,1.0,33.19
SSDP+,burczynski-pn-freq-4_binary,2,0.8333808667617335,1.0,27.269
SSDP+,burczynski-pn-freq-4_binary,3,0.8333808667617335,1.0,36.227
SSDP+,burczynski-pn-freq-4_binary,4,0.8324880649761299,1.0,30.922
SSDP+,burczynski-pn-freq-4_binary,5,0.83000806001612,0.9491525423728814,28.324
SSDP+,burczynski-pn-freq-4_binary,6,0.8321408642817285,1.0,35.841
SSDP+,burczynski-pn-freq-4_binary,7,0.8312480624961249,1.0,35.596
