algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-width-4_binary,1,20.6,0.65,0.631
SD,alon-pn-width-4_binary,2,20.6,0.65,0.575
SD,alon-pn-width-4_binary,3,20.6,0.65,0.572
SD,alon-pn-width-4_binary,4,20.6,0.65,0.581
SD,alon-pn-width-4_binary,5,20.6,0.65,0.567
SD,alon-pn-width-4_binary,6,20.6,0.65,0.575
SD,alon-pn-width-4_binary,7,20.6,0.65,0.566
SD,alon-pn-width-4_binary,8,20.6,0.65,0.572
SD,alon-pn-width-4_binary,9,20.6,0.65,0.569
SD,alon-pn-width-4_binary,10,20.6,0.65,0.57
SSDP+,alon-pn-width-4_binary,1,25.3,0.9,1.56
SSDP+,alon-pn-width-4_binary,2,24.0,0.8,1.135
SSDP+,alon-pn-width-4_binary,3,25.8,0.9,1.649
SSDP+,alon-pn-width-4_binary,4,25.1,0.85,1.264
SSDP+,alon-pn-width-4_binary,5,24.8,0.8,1.158
SSDP+,alon-pn-width-4_binary,6,24.1,0.9,1.295
SSDP+,alon-pn-width-4_binary,7,23.2,0.95,1.037
SSDP+,alon-pn-width-4_binary,8,24.6,0.9,1.128
SSDP+,alon-pn-width-4_binary,9,25.9,0.95,1.237
SSDP+,alon-pn-width-4_binary,10,24.7,0.8,1.316
SMHDD,alon-pn-width-4_binary,1,25.3,0.9,0.713
SMHDD,alon-pn-width-4_binary,2,24.0,0.8,0.458
SMHDD,alon-pn-width-4_binary,3,25.8,0.9,0.672
SMHDD,alon-pn-width-4_binary,4,25.1,0.85,0.536
SMHDD,alon-pn-width-4_binary,5,24.8,0.8,0.47
SMHDD,alon-pn-width-4_binary,6,24.1,0.9,0.515
SMHDD,alon-pn-width-4_binary,7,23.2,0.95,0.406
SMHDD,alon-pn-width-4_binary,8,24.6,0.9,0.425
SMHDD,alon-pn-width-4_binary,9,25.9,0.95,0.518
SMHDD,alon-pn-width-4_binary,10,24.7,0.8,0.53
SD,burczynski-pn-width-4_binary,1,17.5,0.9152542372881356,8.894
SD,burczynski-pn-width-4_binary,2,17.5,0.9152542372881356,9.261
SD,burczynski-pn-width-4_binary,3,17.5,0.9152542372881356,9.201
SD,burczynski-pn-width-4_binary,4,17.5,0.9152542372881356,9.147
SD,burczynski-pn-width-4_binary,5,17.5,0.9152542372881356,9.271
SD,burczynski-pn-width-4_binary,6,17.5,0.9152542372881356,9.225
SD,burczynski-pn-width-4_binary,7,17.5,0.9152542372881356,9.314
SD,burczynski-pn-width-4_binary,8,17.5,0.9152542372881356,9.288
SD,burczynski-pn-width-4_binary,9,17.5,0.9152542372881356,9.349
SD,burczynski-pn-width-4_binary,10,17.5,0.9152542372881356,9.276
SSDP+,burczynski-pn-width-4_binary,1,44.5,1.0,29.092
SSDP+,burczynski-pn-width-4_binary,2,44.3,0.8983050847457628,30.212
SSDP+,burczynski-pn-width-4_binary,3,43.4,0.8305084745762712,26.639
SSDP+,burczynski-pn-width-4_binary,4,43.2,0.7966101694915254,26.578
SSDP+,burczynski-pn-width-4_binary,5,47.9,0.9661016949152542,80.182
SSDP+,burczynski-pn-width-4_binary,6,42.5,0.864406779661017,26.393
SSDP+,burczynski-pn-width-4_binary,7,42.8,0.7966101694915254,23.63
SSDP+,burczynski-pn-width-4_binary,8,43.0,0.7966101694915254,34.548
SSDP+,burczynski-pn-width-4_binary,9,44.8,0.9661016949152542,28.517
SSDP+,burczynski-pn-width-4_binary,10,43.3,0.7966101694915254,29.357
SMHDD,burczynski-pn-width-4_binary,1,44.5,1.0,9.403
SMHDD,burczynski-pn-width-4_binary,2,44.3,0.8983050847457628,9.014
SMHDD,burczynski-pn-width-4_binary,3,43.4,0.8305084745762712,7.851
SMHDD,burczynski-pn-width-4_binary,4,43.2,0.7966101694915254,8.096
SMHDD,burczynski-pn-width-4_binary,5,47.9,0.9661016949152542,23.973
SMHDD,burczynski-pn-width-4_binary,6,42.5,0.864406779661017,8.142
SMHDD,burczynski-pn-width-4_binary,7,42.8,0.7966101694915254,6.916
SMHDD,burczynski-pn-width-4_binary,8,43.0,0.7966101694915254,9.722
SMHDD,burczynski-pn-width-4_binary,9,44.8,0.9661016949152542,8.877
SMHDD,burczynski-pn-width-4_binary,10,43.3,0.7966101694915254,8.837
SD,chiaretti-pn-width-4_binary,1,32.7,0.47297297297297297,7.057
SD,chiaretti-pn-width-4_binary,2,32.7,0.47297297297297297,7.312
SD,chiaretti-pn-width-4_binary,3,32.7,0.47297297297297297,7.273
SD,chiaretti-pn-width-4_binary,4,32.7,0.47297297297297297,7.301
SD,chiaretti-pn-width-4_binary,5,32.7,0.47297297297297297,7.32
SD,chiaretti-pn-width-4_binary,6,32.7,0.47297297297297297,7.285
SD,chiaretti-pn-width-4_binary,7,32.7,0.47297297297297297,7.327
SD,chiaretti-pn-width-4_binary,8,32.7,0.47297297297297297,7.297
SD,chiaretti-pn-width-4_binary,9,32.7,0.47297297297297297,7.302
SD,chiaretti-pn-width-4_binary,10,32.7,0.47297297297297297,7.33
SSDP+,chiaretti-pn-width-4_binary,1,43.0,0.7297297297297297,13.542
SSDP+,chiaretti-pn-width-4_binary,2,44.1,0.8648648648648649,17.517
SSDP+,chiaretti-pn-width-4_binary,3,49.9,0.7837837837837838,21.674
SSDP+,chiaretti-pn-width-4_binary,4,52.5,0.918918918918919,27.791
SSDP+,chiaretti-pn-width-4_binary,5,51.6,0.9594594594594594,23.55
SSDP+,chiaretti-pn-width-4_binary,6,47.7,0.972972972972973,22.401
SSDP+,chiaretti-pn-width-4_binary,7,44.5,0.8648648648648649,16.372
SSDP+,chiaretti-pn-width-4_binary,8,44.9,0.9054054054054054,20.347
SSDP+,chiaretti-pn-width-4_binary,9,48.2,0.9054054054054054,22.699
SSDP+,chiaretti-pn-width-4_binary,10,48.7,0.9459459459459459,25.381
SMHDD,chiaretti-pn-width-4_binary,1,43.0,0.7297297297297297,3.361
SMHDD,chiaretti-pn-width-4_binary,2,44.1,0.8648648648648649,5.267
SMHDD,chiaretti-pn-width-4_binary,3,49.9,0.7837837837837838,6.135
SMHDD,chiaretti-pn-width-4_binary,4,52.5,0.918918918918919,8.461
SMHDD,chiaretti-pn-width-4_binary,5,51.6,0.9594594594594594,7.308
SMHDD,chiaretti-pn-width-4_binary,6,47.7,0.972972972972973,6.769
SMHDD,chiaretti-pn-width-4_binary,7,44.5,0.8648648648648649,4.497
SMHDD,chiaretti-pn-width-4_binary,8,44.9,0.9054054054054054,5.804
SMHDD,chiaretti-pn-width-4_binary,9,48.2,0.9054054054054054,6.82
SMHDD,chiaretti-pn-width-4_binary,10,48.7,0.9459459459459459,8.114
SD,chin-pn-width-4_binary,1,41.5,0.5733333333333334,13.054
SD,chin-pn-width-4_binary,2,41.5,0.5733333333333334,13.378
SD,chin-pn-width-4_binary,3,41.5,0.5733333333333334,13.321
SD,chin-pn-width-4_binary,4,41.5,0.5733333333333334,13.18
SD,chin-pn-width-4_binary,5,41.5,0.5733333333333334,13.021
SD,chin-pn-width-4_binary,6,41.5,0.5733333333333334,13.001
SD,chin-pn-width-4_binary,7,41.5,0.5733333333333334,13.019
SD,chin-pn-width-4_binary,8,41.5,0.5733333333333334,13.017
SD,chin-pn-width-4_binary,9,41.5,0.5733333333333334,13.058
SD,chin-pn-width-4_binary,10,41.5,0.5733333333333334,13.152
SSDP+,chin-pn-width-4_binary,1,66.2,0.9866666666666667,76.423
SSDP+,chin-pn-width-4_binary,2,66.2,0.96,76.594
SSDP+,chin-pn-width-4_binary,3,64.8,0.9866666666666667,67.1
SSDP+,chin-pn-width-4_binary,4,67.1,0.9733333333333334,62.433
