algorithm,dataset,repetition,quality,supp+,time
SD,alon-pn-width-4_nominal,1,11.7,0.875,0.349
SD,alon-pn-width-4_nominal,2,11.7,0.875,0.305
SD,alon-pn-width-4_nominal,3,11.7,0.875,0.291
SD,alon-pn-width-4_nominal,4,11.7,0.875,0.293
SD,alon-pn-width-4_nominal,5,11.7,0.875,0.292
SD,alon-pn-width-4_nominal,6,11.7,0.875,0.283
SD,alon-pn-width-4_nominal,7,11.7,0.875,0.284
SD,alon-pn-width-4_nominal,8,11.7,0.875,0.285
SD,alon-pn-width-4_nominal,9,11.7,0.875,0.287
SD,alon-pn-width-4_nominal,10,11.7,0.875,0.288
SSDP+,alon-pn-width-4_nominal,1,18.2,0.9,0.662
SSDP+,alon-pn-width-4_nominal,2,18.8,0.925,0.741
SSDP+,alon-pn-width-4_nominal,3,18.7,0.8,0.598
SSDP+,alon-pn-width-4_nominal,4,19.2,0.925,0.734
SSDP+,alon-pn-width-4_nominal,5,19.4,0.95,0.778
SSDP+,alon-pn-width-4_nominal,6,18.7,0.825,0.576
SSDP+,alon-pn-width-4_nominal,7,19.3,0.95,0.696
SSDP+,alon-pn-width-4_nominal,8,18.8,0.825,0.632
SSDP+,alon-pn-width-4_nominal,9,19.2,0.925,0.667
SSDP+,alon-pn-width-4_nominal,10,19.1,0.975,0.658
SMHDD,alon-pn-width-4_nominal,1,18.2,0.9,0.334
SMHDD,alon-pn-width-4_nominal,2,18.8,0.925,0.326
SMHDD,alon-pn-width-4_nominal,3,18.7,0.8,0.248
SMHDD,alon-pn-width-4_nominal,4,19.2,0.925,0.308
SMHDD,alon-pn-width-4_nominal,5,19.4,0.95,0.331
SMHDD,alon-pn-width-4_nominal,6,18.7,0.825,0.23
SMHDD,alon-pn-width-4_nominal,7,19.3,0.95,0.278
SMHDD,alon-pn-width-4_nominal,8,18.8,0.825,0.271
SMHDD,alon-pn-width-4_nominal,9,19.2,0.925,0.253
SMHDD,alon-pn-width-4_nominal,10,19.1,0.975,0.273
SD,burczynski-pn-width-4_nominal,1,22.7,0.6101694915254238,8.912
SD,burczynski-pn-width-4_nominal,2,22.7,0.6101694915254238,9.059
SD,burczynski-pn-width-4_nominal,3,22.7,0.6101694915254238,9.045
SD,burczynski-pn-width-4_nominal,4,22.7,0.6101694915254238,8.998
SD,burczynski-pn-width-4_nominal,5,22.7,0.6101694915254238,9.005
SD,burczynski-pn-width-4_nominal,6,22.7,0.6101694915254238,8.997
SD,burczynski-pn-width-4_nominal,7,22.7,0.6101694915254238,9.035
SD,burczynski-pn-width-4_nominal,8,22.7,0.6101694915254238,9.005
SD,burczynski-pn-width-4_nominal,9,22.7,0.6101694915254238,9.085
SD,burczynski-pn-width-4_nominal,10,22.7,0.6101694915254238,9.009
SSDP+,burczynski-pn-width-4_nominal,1,35.8,0.9491525423728814,19.769
SSDP+,burczynski-pn-width-4_nominal,2,36.3,0.8305084745762712,23.57
SSDP+,burczynski-pn-width-4_nominal,3,36.5,0.9661016949152542,23.081
SSDP+,burczynski-pn-width-4_nominal,4,35.7,0.9491525423728814,17.155
SSDP+,burczynski-pn-width-4_nominal,5,36.8,0.9491525423728814,21.154
SSDP+,burczynski-pn-width-4_nominal,6,38.6,0.847457627118644,28.389
SSDP+,burczynski-pn-width-4_nominal,7,36.8,0.7966101694915254,28.087
SSDP+,burczynski-pn-width-4_nominal,8,36.0,0.7796610169491526,27.391
SSDP+,burczynski-pn-width-4_nominal,9,36.6,0.7966101694915254,20.991
SSDP+,burczynski-pn-width-4_nominal,10,36.9,0.9491525423728814,28.229
SMHDD,burczynski-pn-width-4_nominal,1,35.8,0.9491525423728814,4.696
SMHDD,burczynski-pn-width-4_nominal,2,36.3,0.8305084745762712,5.363
SMHDD,burczynski-pn-width-4_nominal,3,36.5,0.9661016949152542,5.275
SMHDD,burczynski-pn-width-4_nominal,4,35.7,0.9491525423728814,4.078
SMHDD,burczynski-pn-width-4_nominal,5,36.8,0.9491525423728814,5.468
SMHDD,burczynski-pn-width-4_nominal,6,38.6,0.847457627118644,5.685
SMHDD,burczynski-pn-width-4_nominal,7,36.8,0.7966101694915254,6.793
SMHDD,burczynski-pn-width-4_nominal,8,36.0,0.7796610169491526,7.12
SMHDD,burczynski-pn-width-4_nominal,9,36.6,0.7966101694915254,4.724
SMHDD,burczynski-pn-width-4_nominal,10,36.9,0.9491525423728814,7.261
SD,chiaretti-pn-width-4_nominal,1,33.9,0.4864864864864865,5.732
SD,chiaretti-pn-width-4_nominal,2,33.9,0.4864864864864865,5.768
SD,chiaretti-pn-width-4_nominal,3,33.9,0.4864864864864865,5.751
SD,chiaretti-pn-width-4_nominal,4,33.9,0.4864864864864865,5.73
SD,chiaretti-pn-width-4_nominal,5,33.9,0.4864864864864865,5.735
SD,chiaretti-pn-width-4_nominal,6,33.9,0.4864864864864865,5.757
SD,chiaretti-pn-width-4_nominal,7,33.9,0.4864864864864865,5.733
SD,chiaretti-pn-width-4_nominal,8,33.9,0.4864864864864865,5.736
SD,chiaretti-pn-width-4_nominal,9,33.9,0.4864864864864865,5.751
SD,chiaretti-pn-width-4_nominal,10,33.9,0.4864864864864865,5.76
SSDP+,chiaretti-pn-width-4_nominal,1,41.0,0.7702702702702703,14.852
SSDP+,chiaretti-pn-width-4_nominal,2,41.8,0.918918918918919,14.722
SSDP+,chiaretti-pn-width-4_nominal,3,40.5,0.7972972972972973,12.621
SSDP+,chiaretti-pn-width-4_nominal,4,38.5,0.7432432432432432,8.416
SSDP+,chiaretti-pn-width-4_nominal,5,41.7,0.9054054054054054,14.014
SSDP+,chiaretti-pn-width-4_nominal,6,41.0,0.7702702702702703,14.113
SSDP+,chiaretti-pn-width-4_nominal,7,44.3,0.8378378378378378,13.623
SSDP+,chiaretti-pn-width-4_nominal,8,41.3,0.8108108108108109,16.633
SSDP+,chiaretti-pn-width-4_nominal,9,40.2,0.6081081081081081,12.158
SSDP+,chiaretti-pn-width-4_nominal,10,41.2,0.7162162162162162,13.972
SMHDD,chiaretti-pn-width-4_nominal,1,41.0,0.7702702702702703,4.089
SMHDD,chiaretti-pn-width-4_nominal,2,41.8,0.918918918918919,4.237
SMHDD,chiaretti-pn-width-4_nominal,3,40.5,0.7972972972972973,3.626
SMHDD,chiaretti-pn-width-4_nominal,4,38.5,0.7432432432432432,2.106
SMHDD,chiaretti-pn-width-4_nominal,5,41.7,0.9054054054054054,3.681
SMHDD,chiaretti-pn-width-4_nominal,6,41.0,0.7702702702702703,4.312
SMHDD,chiaretti-pn-width-4_nominal,7,44.3,0.8378378378378378,3.982
SMHDD,chiaretti-pn-width-4_nominal,8,41.3,0.8108108108108109,4.964
SMHDD,chiaretti-pn-width-4_nominal,9,40.2,0.6081081081081081,3.533
SMHDD,chiaretti-pn-width-4_nominal,10,41.2,0.7162162162162162,3.449
SD,chin-pn-width-4_nominal,1,38.6,0.5333333333333333,8.448
SD,chin-pn-width-4_nominal,2,38.6,0.5333333333333333,8.489
SD,chin-pn-width-4_nominal,3,38.6,0.5333333333333333,8.446
SD,chin-pn-width-4_nominal,4,38.6,0.5333333333333333,8.504
SD,chin-pn-width-4_nominal,5,38.6,0.5333333333333333,8.499
SD,chin-pn-width-4_nominal,6,38.6,0.5333333333333333,8.52
SD,chin-pn-width-4_nominal,7,38.6,0.5333333333333333,8.498
SD,chin-pn-width-4_nominal,8,38.6,0.5333333333333333,8.507
SD,chin-pn-width-4_nominal,9,38.6,0.5333333333333333,8.518
SD,chin-pn-width-4_nominal,10,38.6,0.5333333333333333,8.522
SSDP+,chin-pn-width-4_nominal,1,57.5,0.96,36.031
SSDP+,chin-pn-width-4_nominal,2,57.9,0.9333333333333333,30.661
SSDP+,chin-pn-width-4_nominal,3,56.2,0.9066666666666666,23.322
SSDP+,chin-pn-width-4_nominal,4,55.2,0.8666666666666667,30.774
SSDP+,chin-pn-width-4_nominal,5,54.8,0.9866666666666667,31.549
SSDP+,chin-pn-width-4_nominal,6,57.0,0.96,25.313
SSDP+,chin-pn-width-4_nominal,7,57.7,0.88,30.409
SSDP+,chin-pn-width-4_nominal,8,57.5,0.9333333333333333,28.925
SSDP+,chin-pn-width-4_nominal,9,59.3,0.9866666666666667,31.298
SSDP+,chin-pn-width-4_nominal,10,57.5,0.9333333333333333,28.499
SMHDD,chin-pn-width-4_nominal,1,57.5,0.96,9.795
SMHDD,chin-pn-width-4_nominal,2,57.9,0.9333333333333333,7.616
SMHDD,chin-pn-width-4_nominal,3,56.2,0.9066666666666666,6.416
SMHDD,chin-pn-width-4_nominal,4,55.2,0.8666666666666667,9.239
SMHDD,chin-pn-width-4_nominal,5,54.8,0.9866666666666667,9.539
SMHDD,chin-pn-width-4_nominal,6,57.0,0.96,5.384
SMHDD,chin-pn-width-4_nominal,7,57.7,0.88,8.467
SMHDD,chin-pn-width-4_nominal,8,57.5,0.9333333333333333,8.838
SMHDD,chin-pn-width-4_nominal,9,59.3,0.9866666666666667,7.282
SMHDD,chin-pn-width-4_nominal,10,57.5,0.9333333333333333,7.976
SD,chowdary-pn-width-4_nominal,1,18.7,0.8870967741935484,4.085
SD,chowdary-pn-width-4_nominal,2,18.7,0.8870967741935484,4.081
SD,chowdary-pn-width-4_nominal,3,18.7,0.8870967741935484,4.103
SD,chowdary-pn-width-4_nominal,4,18.7,0.8870967741935484,4.072
SD,chowdary-pn-width-4_nominal,5,18.7,0.8870967741935484,4.091
SD,chowdary-pn-width-4_nominal,6,18.7,0.8870967741935484,4.067
SD,chowdary-pn-width-4_nominal,7,18.7,0.8870967741935484,4.094
SD,chowdary-pn-width-4_nominal,8,18.7,0.8870967741935484,4.054
SD,chowdary-pn-width-4_nominal,9,18.7,0.8870967741935484,4.069
SD,chowdary-pn-width-4_nominal,10,18.7,0.8870967741935484,4.112
SSDP+,chowdary-pn-width-4_nominal,1,32.5,0.5806451612903226,11.485
SSDP+,chowdary-pn-width-4_nominal,2,32.4,0.5806451612903226,8.448
SSDP+,chowdary-pn-width-4_nominal,3,32.4,0.5806451612903226,11.783
SSDP+,chowdary-pn-width-4_nominal,4,32.4,0.5806451612903226,19.0
SSDP+,chowdary-pn-width-4_nominal,5,32.4,0.5806451612903226,8.962
SSDP+,chowdary-pn-width-4_nominal,6,32.4,0.5806451612903226,13.376
SSDP+,chowdary-pn-width-4_nominal,7,32.4,0.5806451612903226,15.256
SSDP+,chowdary-pn-width-4_nominal,8,25.7,0.9193548387096774,9.698
SSDP+,chowdary-pn-width-4_nominal,9,32.7,0.5806451612903226,13.336
SSDP+,chowdary-pn-width-4_nominal,10,32.6,0.5806451612903226,9.305
SMHDD,chowdary-pn-width-4_nominal,1,32.5,0.5806451612903226,3.194
SMHDD,chowdary-pn-width-4_nominal,2,32.4,0.5806451612903226,2.202
SMHDD,chowdary-pn-width-4_nominal,3,32.4,0.5806451612903226,3.289
SMHDD,chowdary-pn-width-4_nominal,4,32.4,0.5806451612903226,6.571
SMHDD,chowdary-pn-width-4_nominal,5,32.4,0.5806451612903226,2.24
SMHDD,chowdary-pn-width-4_nominal,6,32.4,0.5806451612903226,4.192
SMHDD,chowdary-pn-width-4_nominal,7,32.4,0.5806451612903226,4.88
SMHDD,chowdary-pn-width-4_nominal,8,25.7,0.9193548387096774,2.883
SMHDD,chowdary-pn-width-4_nominal,9,32.7,0.5806451612903226,4.011
SMHDD,chowdary-pn-width-4_nominal,10,32.6,0.5806451612903226,2.338
SD,christensen-pn-width-4_nominal,1,67.9,1.0,0.916
SD,christensen-pn-width-4_nominal,2,67.9,1.0,0.901
SD,christensen-pn-width-4_nominal,3,67.9,1.0,0.908
SD,christensen-pn-width-4_nominal,4,67.9,1.0,0.915
SD,christensen-pn-width-4_nominal,5,67.9,1.0,0.917
SD,christensen-pn-width-4_nominal,6,67.9,1.0,0.909
SD,christensen-pn-width-4_nominal,7,67.9,1.0,0.918
SD,christensen-pn-width-4_nominal,8,67.9,1.0,0.928
SD,christensen-pn-width-4_nominal,9,67.9,1.0,0.908
SD,christensen-pn-width-4_nominal,10,67.9,1.0,0.906
SSDP+,christensen-pn-width-4_nominal,1,102.6,1.0,0.72
SSDP+,christensen-pn-width-4_nominal,2,102.2,1.0,0.829
SSDP+,christensen-pn-width-4_nominal,3,102.8,1.0,0.773
SSDP+,christensen-pn-width-4_nominal,4,102.8,1.0,0.825
SSDP+,christensen-pn-width-4_nominal,5,102.2,1.0,0.72
SSDP+,christensen-pn-width-4_nominal,6,102.4,1.0,0.761
SSDP+,christensen-pn-width-4_nominal,7,102.6,1.0,0.705
SSDP+,christensen-pn-width-4_nominal,8,102.2,1.0,0.996
SSDP+,christensen-pn-width-4_nominal,9,102.2,1.0,0.77
SSDP+,christensen-pn-width-4_nominal,10,103.0,1.0,0.872
SMHDD,christensen-pn-width-4_nominal,1,102.6,1.0,0.159
SMHDD,christensen-pn-width-4_nominal,2,102.2,1.0,0.177
SMHDD,christensen-pn-width-4_nominal,3,102.8,1.0,0.164
SMHDD,christensen-pn-width-4_nominal,4,102.8,1.0,0.187
SMHDD,christensen-pn-width-4_nominal,5,102.2,1.0,0.157
SMHDD,christensen-pn-width-4_nominal,6,102.4,1.0,0.157
SMHDD,christensen-pn-width-4_nominal,7,102.6,1.0,0.153
SMHDD,christensen-pn-width-4_nominal,8,102.2,1.0,0.253
SMHDD,christensen-pn-width-4_nominal,9,102.2,1.0,0.162
SMHDD,christensen-pn-width-4_nominal,10,103.0,1.0,0.204
SD,golub-pn-width-4_nominal,1,38.5,0.9574468085106383,1.906
SD,golub-pn-width-4_nominal,2,38.5,0.9574468085106383,1.872
SD,golub-pn-width-4_nominal,3,38.5,0.9574468085106383,1.896
SD,golub-pn-width-4_nominal,4,38.5,0.9574468085106383,1.898
SD,golub-pn-width-4_nominal,5,38.5,0.9574468085106383,1.908
SD,golub-pn-width-4_nominal,6,38.5,0.9574468085106383,1.893
SD,golub-pn-width-4_nominal,7,38.5,0.9574468085106383,1.898
SD,golub-pn-width-4_nominal,8,38.5,0.9574468085106383,1.899
SD,golub-pn-width-4_nominal,9,38.5,0.9574468085106383,1.905
SD,golub-pn-width-4_nominal,10,38.5,0.9574468085106383,1.899
SSDP+,golub-pn-width-4_nominal,1,42.6,1.0,3.887
SSDP+,golub-pn-width-4_nominal,2,42.3,1.0,3.018
SSDP+,golub-pn-width-4_nominal,3,42.5,1.0,2.883
SSDP+,golub-pn-width-4_nominal,4,41.4,1.0,2.524
SSDP+,golub-pn-width-4_nominal,5,42.2,1.0,2.63
SSDP+,golub-pn-width-4_nominal,6,42.7,1.0,2.891
SSDP+,golub-pn-width-4_nominal,7,42.4,1.0,3.807
SSDP+,golub-pn-width-4_nominal,8,41.7,1.0,2.9
SSDP+,golub-pn-width-4_nominal,9,42.8,1.0,2.82
SSDP+,golub-pn-width-4_nominal,10,42.6,1.0,3.608
SMHDD,golub-pn-width-4_nominal,1,42.6,1.0,1.287
SMHDD,golub-pn-width-4_nominal,2,42.3,1.0,1.122
SMHDD,golub-pn-width-4_nominal,3,42.5,1.0,0.974
SMHDD,golub-pn-width-4_nominal,4,41.4,1.0,0.819
