algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,32.5,0.95,1.07
SMHDD_1.0,alon_og_labeled,2,32.6,1.0,0.953
SMHDD_1.0,alon_og_labeled,3,32.7,0.975,0.689
SMHDD_1.0,alon_og_labeled,4,32.7,0.975,0.592
SMHDD_1.0,alon_og_labeled,5,32.1,0.975,0.798
SMHDD_1.0,alon_og_labeled,6,32.5,0.975,0.697
SMHDD_1.0,alon_og_labeled,7,32.4,0.95,0.72
SMHDD_1.0,alon_og_labeled,8,31.5,0.95,0.586
SMHDD_1.0,alon_og_labeled,9,32.4,0.975,0.771
SMHDD_1.0,alon_og_labeled,10,32.7,0.95,0.796
SMHDD_1.0,burczynski_og_labeled,1,48.1,0.9661016949152542,33.4
SMHDD_1.0,burczynski_og_labeled,2,46.0,0.9830508474576272,39.485
SMHDD_1.0,burczynski_og_labeled,3,47.8,0.9661016949152542,36.155
SMHDD_1.0,burczynski_og_labeled,4,48.5,0.9322033898305084,29.551
SMHDD_1.0,burczynski_og_labeled,5,47.7,0.9322033898305084,34.015
SMHDD_1.0,burczynski_og_labeled,6,44.0,0.9152542372881356,23.589
SMHDD_1.0,burczynski_og_labeled,7,47.2,0.9830508474576272,27.324
SMHDD_1.0,burczynski_og_labeled,8,46.8,0.8813559322033898,31.823
SMHDD_1.0,burczynski_og_labeled,9,47.7,0.9661016949152542,38.271
SMHDD_1.0,burczynski_og_labeled,10,46.0,0.9830508474576272,34.069
SMHDD_1.0,chiaretti_og_labeled,1,54.1,0.8648648648648649,10.857
SMHDD_1.0,chiaretti_og_labeled,2,53.8,0.9459459459459459,11.903
SMHDD_1.0,chiaretti_og_labeled,3,50.4,0.918918918918919,9.166
SMHDD_1.0,chiaretti_og_labeled,4,49.3,0.9054054054054054,8.93
SMHDD_1.0,chiaretti_og_labeled,5,48.3,0.918918918918919,7.322
SMHDD_1.0,chiaretti_og_labeled,6,52.1,0.9324324324324325,13.662
SMHDD_1.0,chiaretti_og_labeled,7,54.6,0.8783783783783784,12.202
SMHDD_1.0,chiaretti_og_labeled,8,52.2,0.8918918918918919,9.972
SMHDD_1.0,chiaretti_og_labeled,9,48.5,0.8648648648648649,9.667
SMHDD_1.0,chiaretti_og_labeled,10,49.3,0.9324324324324325,7.654
SMHDD_1.0,chin_og_labeled,1,51.8,0.9466666666666667,12.686
SMHDD_1.0,chin_og_labeled,2,53.0,0.9733333333333334,13.505
SMHDD_1.0,chin_og_labeled,3,51.9,0.9466666666666667,12.582
SMHDD_1.0,chin_og_labeled,4,51.4,0.9333333333333333,10.944
SMHDD_1.0,chin_og_labeled,5,51.6,0.9733333333333334,14.683
SMHDD_1.0,chin_og_labeled,6,52.3,0.9333333333333333,13.238
SMHDD_1.0,chin_og_labeled,7,54.3,0.9333333333333333,13.015
SMHDD_1.0,chin_og_labeled,8,51.8,0.8,14.099
SMHDD_1.0,chin_og_labeled,9,51.5,0.9866666666666667,13.956
SMHDD_1.0,chin_og_labeled,10,51.8,0.96,13.486
SMHDD_1.0,chowdary_og_labeled,1,56.0,1.0,7.398
SMHDD_1.0,chowdary_og_labeled,2,56.9,1.0,11.353
SMHDD_1.0,chowdary_og_labeled,3,56.8,1.0,7.852
SMHDD_1.0,chowdary_og_labeled,4,56.2,1.0,7.751
SMHDD_1.0,chowdary_og_labeled,5,56.6,1.0,12.458
SMHDD_1.0,chowdary_og_labeled,6,56.5,1.0,11.093
SMHDD_1.0,chowdary_og_labeled,7,55.7,1.0,7.805
SMHDD_1.0,chowdary_og_labeled,8,56.7,1.0,10.517
SMHDD_1.0,chowdary_og_labeled,9,55.9,1.0,6.261
SMHDD_1.0,chowdary_og_labeled,10,56.6,1.0,10.097
SMHDD_1.0,christensen_og_labeled,1,103.6,1.0,1.147
SMHDD_1.0,christensen_og_labeled,2,103.5,1.0,1.146
SMHDD_1.0,christensen_og_labeled,3,102.4,1.0,1.028
SMHDD_1.0,christensen_og_labeled,4,102.5,1.0,1.609
SMHDD_1.0,christensen_og_labeled,5,102.5,1.0,1.155
SMHDD_1.0,christensen_og_labeled,6,102.0,1.0,1.117
SMHDD_1.0,christensen_og_labeled,7,103.6,1.0,1.532
SMHDD_1.0,christensen_og_labeled,8,103.1,1.0,1.241
SMHDD_1.0,christensen_og_labeled,9,102.1,1.0,1.135
SMHDD_1.0,christensen_og_labeled,10,103.6,1.0,1.095
SMHDD_1.0,golub_og_labeled,1,36.0,1.0,0.631
SMHDD_1.0,golub_og_labeled,2,36.0,1.0,0.639
SMHDD_1.0,golub_og_labeled,3,36.0,1.0,0.62
SMHDD_1.0,golub_og_labeled,4,36.0,1.0,0.638
SMHDD_1.0,golub_og_labeled,5,36.0,1.0,0.62
