algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,8.1,0.75,0.318
SMHDD_1.0,alon_og_labeled,2,8.1,0.75,0.154
SMHDD_1.0,alon_og_labeled,3,8.1,0.75,0.129
SMHDD_1.0,alon_og_labeled,4,8.1,0.75,0.122
SMHDD_1.0,alon_og_labeled,5,8.1,0.75,0.127
SMHDD_1.0,alon_og_labeled,6,8.1,0.75,0.113
SMHDD_1.0,alon_og_labeled,7,8.1,0.75,0.115
SMHDD_1.0,alon_og_labeled,8,8.1,0.75,0.113
SMHDD_1.0,alon_og_labeled,9,8.1,0.75,0.11
SMHDD_1.0,alon_og_labeled,10,8.1,0.75,0.111
SMHDD_1.0,burczynski_og_labeled,1,16.0,0.7796610169491526,2.32
SMHDD_1.0,burczynski_og_labeled,2,16.0,0.7796610169491526,2.356
SMHDD_1.0,burczynski_og_labeled,3,16.0,0.7796610169491526,2.327
SMHDD_1.0,burczynski_og_labeled,4,16.0,0.7796610169491526,2.408
SMHDD_1.0,burczynski_og_labeled,5,16.0,0.7796610169491526,2.415
SMHDD_1.0,burczynski_og_labeled,6,16.0,0.7796610169491526,2.414
SMHDD_1.0,burczynski_og_labeled,7,16.0,0.7796610169491526,2.408
SMHDD_1.0,burczynski_og_labeled,8,16.0,0.7796610169491526,2.42
SMHDD_1.0,burczynski_og_labeled,9,16.0,0.7796610169491526,2.587
SMHDD_1.0,burczynski_og_labeled,10,16.0,0.7796610169491526,2.342
SMHDD_1.0,chiaretti_og_labeled,1,16.0,0.7432432432432432,1.246
SMHDD_1.0,chiaretti_og_labeled,2,16.0,0.7432432432432432,1.191
SMHDD_1.0,chiaretti_og_labeled,3,16.0,0.7432432432432432,1.28
SMHDD_1.0,chiaretti_og_labeled,4,16.0,0.7432432432432432,1.198
SMHDD_1.0,chiaretti_og_labeled,5,16.0,0.7432432432432432,1.276
SMHDD_1.0,chiaretti_og_labeled,6,16.0,0.7432432432432432,1.162
SMHDD_1.0,chiaretti_og_labeled,7,16.0,0.7432432432432432,1.222
SMHDD_1.0,chiaretti_og_labeled,8,16.0,0.7432432432432432,1.162
SMHDD_1.0,chiaretti_og_labeled,9,16.0,0.7432432432432432,1.242
SMHDD_1.0,chiaretti_og_labeled,10,16.0,0.7432432432432432,1.166
SMHDD_1.0,chin_og_labeled,1,15.0,0.8533333333333334,2.278
SMHDD_1.0,chin_og_labeled,2,15.0,0.8533333333333334,2.191
SMHDD_1.0,chin_og_labeled,3,15.0,0.8533333333333334,2.205
SMHDD_1.0,chin_og_labeled,4,15.0,0.8533333333333334,2.181
SMHDD_1.0,chin_og_labeled,5,15.0,0.8533333333333334,2.23
SMHDD_1.0,chin_og_labeled,6,15.0,0.8533333333333334,2.222
SMHDD_1.0,chin_og_labeled,7,15.0,0.8533333333333334,2.147
SMHDD_1.0,chin_og_labeled,8,15.0,0.8533333333333334,2.22
SMHDD_1.0,chin_og_labeled,9,15.0,0.8533333333333334,2.263
SMHDD_1.0,chin_og_labeled,10,15.0,0.8533333333333334,2.154
SMHDD_1.0,chowdary_og_labeled,1,16.4,0.9193548387096774,2.108
SMHDD_1.0,chowdary_og_labeled,2,16.4,0.9193548387096774,2.252
SMHDD_1.0,chowdary_og_labeled,3,16.4,0.9193548387096774,2.139
SMHDD_1.0,chowdary_og_labeled,4,16.4,0.9193548387096774,2.197
SMHDD_1.0,chowdary_og_labeled,5,16.4,0.9193548387096774,2.226
SMHDD_1.0,chowdary_og_labeled,6,16.4,0.9193548387096774,2.262
SMHDD_1.0,chowdary_og_labeled,7,16.4,0.9193548387096774,2.171
SMHDD_1.0,chowdary_og_labeled,8,16.4,0.9193548387096774,2.244
SMHDD_1.0,chowdary_og_labeled,9,16.4,0.9193548387096774,2.187
SMHDD_1.0,chowdary_og_labeled,10,16.4,0.9193548387096774,2.134
SMHDD_1.0,christensen_og_labeled,1,28.1,0.6548672566371682,0.166
SMHDD_1.0,christensen_og_labeled,2,28.1,0.6548672566371682,0.168
SMHDD_1.0,christensen_og_labeled,3,28.1,0.6548672566371682,0.169
SMHDD_1.0,christensen_og_labeled,4,28.1,0.6548672566371682,0.169
SMHDD_1.0,christensen_og_labeled,5,28.1,0.6548672566371682,0.173
SMHDD_1.0,christensen_og_labeled,6,28.1,0.6548672566371682,0.193
SMHDD_1.0,christensen_og_labeled,7,28.1,0.6548672566371682,0.188
SMHDD_1.0,christensen_og_labeled,8,28.1,0.6548672566371682,0.182
SMHDD_1.0,christensen_og_labeled,9,28.1,0.6548672566371682,0.185
SMHDD_1.0,christensen_og_labeled,10,28.1,0.6548672566371682,0.182
SMHDD_1.0,golub_og_labeled,1,10.5,0.8936170212765957,0.492
SMHDD_1.0,golub_og_labeled,2,10.5,0.8936170212765957,0.505
SMHDD_1.0,golub_og_labeled,3,10.5,0.8936170212765957,0.485
SMHDD_1.0,golub_og_labeled,4,10.5,0.8936170212765957,0.491
SMHDD_1.0,golub_og_labeled,5,10.5,0.8936170212765957,0.52
SMHDD_1.0,golub_og_labeled,6,10.5,0.8936170212765957,0.492
SMHDD_1.0,golub_og_labeled,7,10.5,0.8936170212765957,0.49
SMHDD_1.0,golub_og_labeled,8,10.5,0.8936170212765957,0.48
SMHDD_1.0,golub_og_labeled,9,10.5,0.8936170212765957,0.468
SMHDD_1.0,golub_og_labeled,10,10.5,0.8936170212765957,0.47
SMHDD_1.0,gordon_og_labeled,1,25.4,0.8933333333333333,1.636
SMHDD_1.0,gordon_og_labeled,2,25.4,0.8933333333333333,1.56
SMHDD_1.0,gordon_og_labeled,3,25.4,0.8933333333333333,1.557
SMHDD_1.0,gordon_og_labeled,4,25.4,0.8933333333333333,1.493
SMHDD_1.0,gordon_og_labeled,5,25.4,0.8933333333333333,1.572
SMHDD_1.0,gordon_og_labeled,6,25.4,0.8933333333333333,1.572
SMHDD_1.0,gordon_og_labeled,7,25.4,0.8933333333333333,1.498
SMHDD_1.0,gordon_og_labeled,8,25.4,0.8933333333333333,1.553
SMHDD_1.0,gordon_og_labeled,9,25.4,0.8933333333333333,1.61
SMHDD_1.0,gordon_og_labeled,10,25.4,0.8933333333333333,1.566
SMHDD_1.0,gravier_og_labeled,1,21.3,0.8558558558558559,0.346
SMHDD_1.0,gravier_og_labeled,2,21.3,0.8558558558558559,0.329
SMHDD_1.0,gravier_og_labeled,3,21.3,0.8558558558558559,0.309
SMHDD_1.0,gravier_og_labeled,4,21.3,0.8558558558558559,0.309
SMHDD_1.0,gravier_og_labeled,5,21.3,0.8558558558558559,0.306
SMHDD_1.0,gravier_og_labeled,6,21.3,0.8558558558558559,0.308
SMHDD_1.0,gravier_og_labeled,7,21.3,0.8558558558558559,0.318
SMHDD_1.0,gravier_og_labeled,8,21.3,0.8558558558558559,0.312
SMHDD_1.0,gravier_og_labeled,9,21.3,0.8558558558558559,0.313
SMHDD_1.0,gravier_og_labeled,10,21.3,0.8558558558558559,0.309
SMHDD_1.0,khan_og_labeled,1,8.0,0.9565217391304348,0.136
SMHDD_1.0,khan_og_labeled,2,8.0,0.9565217391304348,0.133
SMHDD_1.0,khan_og_labeled,3,8.0,0.9565217391304348,0.134
SMHDD_1.0,khan_og_labeled,4,8.0,0.9565217391304348,0.137
SMHDD_1.0,khan_og_labeled,5,8.0,0.9565217391304348,0.133
SMHDD_1.0,khan_og_labeled,6,8.0,0.9565217391304348,0.142
SMHDD_1.0,khan_og_labeled,7,8.0,0.9565217391304348,0.134
SMHDD_1.0,khan_og_labeled,8,8.0,0.9565217391304348,0.135
SMHDD_1.0,khan_og_labeled,9,8.0,0.9565217391304348,0.13
SMHDD_1.0,khan_og_labeled,10,8.0,0.9565217391304348,0.131
SMHDD_1.0,nakayama_og_labeled,1,7.9,0.9523809523809523,5.129
SMHDD_1.0,nakayama_og_labeled,2,7.9,0.9047619047619048,5.107
SMHDD_1.0,nakayama_og_labeled,3,7.9,0.9047619047619048,4.87
SMHDD_1.0,nakayama_og_labeled,4,7.6,0.9047619047619048,4.128
SMHDD_1.0,nakayama_og_labeled,5,7.9,0.9523809523809523,4.458
SMHDD_1.0,nakayama_og_labeled,6,7.5,0.8571428571428571,3.801
SMHDD_1.0,nakayama_og_labeled,7,7.8,0.9523809523809523,4.729
SMHDD_1.0,nakayama_og_labeled,8,7.9,0.9047619047619048,4.006
SMHDD_1.0,nakayama_og_labeled,9,7.8,1.0,4.592
SMHDD_1.0,nakayama_og_labeled,10,7.9,0.9047619047619048,4.648
SMHDD_1.0,pomeroy_og_labeled,1,8.0,0.8974358974358975,0.428
SMHDD_1.0,pomeroy_og_labeled,2,8.0,0.8974358974358975,0.415
SMHDD_1.0,pomeroy_og_labeled,3,8.0,0.8974358974358975,0.41
SMHDD_1.0,pomeroy_og_labeled,4,8.0,0.8974358974358975,0.408
SMHDD_1.0,pomeroy_og_labeled,5,8.0,0.8974358974358975,0.406
SMHDD_1.0,pomeroy_og_labeled,6,8.0,0.8974358974358975,0.409
SMHDD_1.0,pomeroy_og_labeled,7,8.0,0.8974358974358975,0.424
SMHDD_1.0,pomeroy_og_labeled,8,8.0,0.8974358974358975,0.401
SMHDD_1.0,pomeroy_og_labeled,9,8.0,0.8974358974358975,0.413
SMHDD_1.0,pomeroy_og_labeled,10,8.0,0.8974358974358975,0.414
SMHDD_1.0,shipp_og_labeled,1,11.9,0.9655172413793104,0.532
SMHDD_1.0,shipp_og_labeled,2,11.9,0.9655172413793104,0.539
SMHDD_1.0,shipp_og_labeled,3,11.9,0.9655172413793104,0.529
SMHDD_1.0,shipp_og_labeled,4,11.9,0.9655172413793104,0.542
SMHDD_1.0,shipp_og_labeled,5,11.9,0.9655172413793104,0.526
SMHDD_1.0,shipp_og_labeled,6,11.9,0.9655172413793104,0.521
SMHDD_1.0,shipp_og_labeled,7,11.9,0.9655172413793104,0.523
SMHDD_1.0,shipp_og_labeled,8,11.9,0.9655172413793104,0.552
SMHDD_1.0,shipp_og_labeled,9,11.9,0.9655172413793104,0.529
SMHDD_1.0,shipp_og_labeled,10,11.9,0.9655172413793104,0.53
SMHDD_1.0,singh_og_labeled,1,14.3,0.9807692307692307,1.091
SMHDD_1.0,singh_og_labeled,2,14.3,0.9807692307692307,1.081
SMHDD_1.0,singh_og_labeled,3,14.3,0.9807692307692307,1.084
SMHDD_1.0,singh_og_labeled,4,14.3,0.9807692307692307,1.089
SMHDD_1.0,singh_og_labeled,5,14.3,0.9807692307692307,1.125
SMHDD_1.0,singh_og_labeled,6,14.3,0.9807692307692307,1.09
