algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,0.5548387096774194,0.925,0.242
SMHDD_1.0,alon_og_labeled,2,0.5525494276795005,0.925,0.117
SMHDD_1.0,alon_og_labeled,3,0.5506763787721124,0.925,0.097
SMHDD_1.0,alon_og_labeled,4,0.5506763787721124,0.925,0.085
SMHDD_1.0,alon_og_labeled,5,0.5506763787721124,0.925,0.072
SMHDD_1.0,alon_og_labeled,6,0.5529656607700313,0.925,0.068
SMHDD_1.0,alon_og_labeled,7,0.5529656607700313,0.925,0.07
SMHDD_1.0,alon_og_labeled,8,0.5525494276795005,0.925,0.067
SMHDD_1.0,alon_og_labeled,9,0.5529656607700313,0.925,0.068
SMHDD_1.0,alon_og_labeled,10,0.5525494276795005,0.925,0.069
SMHDD_1.0,burczynski_og_labeled,1,0.6764957529915059,0.9830508474576272,1.289
SMHDD_1.0,burczynski_og_labeled,2,0.6775125550251099,0.9661016949152542,1.231
SMHDD_1.0,burczynski_og_labeled,3,0.6775125550251099,0.9661016949152542,1.202
SMHDD_1.0,burczynski_og_labeled,4,0.6764957529915059,0.9830508474576272,1.273
SMHDD_1.0,burczynski_og_labeled,5,0.6764957529915059,0.9830508474576272,1.25
SMHDD_1.0,burczynski_og_labeled,6,0.6775125550251099,0.9661016949152542,1.174
SMHDD_1.0,burczynski_og_labeled,7,0.6777357554715108,0.9661016949152542,1.048
SMHDD_1.0,burczynski_og_labeled,8,0.6764957529915059,0.9491525423728814,1.262
SMHDD_1.0,burczynski_og_labeled,9,0.6775125550251099,0.9661016949152542,1.262
SMHDD_1.0,burczynski_og_labeled,10,0.6775125550251099,0.9661016949152542,1.206
SMHDD_1.0,chiaretti_og_labeled,1,0.57431640625,0.8783783783783784,0.896
SMHDD_1.0,chiaretti_og_labeled,2,0.57431640625,0.8783783783783784,0.773
SMHDD_1.0,chiaretti_og_labeled,3,0.57431640625,0.8513513513513513,0.872
SMHDD_1.0,chiaretti_og_labeled,4,0.57431640625,0.8513513513513513,0.895
SMHDD_1.0,chiaretti_og_labeled,5,0.57431640625,0.8783783783783784,0.969
SMHDD_1.0,chiaretti_og_labeled,6,0.57431640625,0.8513513513513513,0.895
SMHDD_1.0,chiaretti_og_labeled,7,0.57431640625,0.8513513513513513,0.943
SMHDD_1.0,chiaretti_og_labeled,8,0.57431640625,0.8513513513513513,0.9
SMHDD_1.0,chiaretti_og_labeled,9,0.57431640625,0.8513513513513513,0.867
SMHDD_1.0,chiaretti_og_labeled,10,0.57431640625,0.8783783783783784,0.859
SMHDD_1.0,chin_og_labeled,1,0.580867566791152,0.9866666666666667,0.858
SMHDD_1.0,chin_og_labeled,2,0.580867566791152,0.9866666666666667,0.912
SMHDD_1.0,chin_og_labeled,3,0.580867566791152,0.9866666666666667,0.923
SMHDD_1.0,chin_og_labeled,4,0.580867566791152,0.9866666666666667,0.925
SMHDD_1.0,chin_og_labeled,5,0.580867566791152,0.9866666666666667,0.983
SMHDD_1.0,chin_og_labeled,6,0.580867566791152,0.9866666666666667,1.01
SMHDD_1.0,chin_og_labeled,7,0.580867566791152,0.9866666666666667,0.835
SMHDD_1.0,chin_og_labeled,8,0.580867566791152,0.9866666666666667,0.897
SMHDD_1.0,chin_og_labeled,9,0.580867566791152,0.9866666666666667,0.911
SMHDD_1.0,chin_og_labeled,10,0.580867566791152,0.9866666666666667,1.014
SMHDD_1.0,chowdary_og_labeled,1,0.7538461538461538,1.0,0.884
SMHDD_1.0,chowdary_og_labeled,2,0.7538461538461538,1.0,0.839
SMHDD_1.0,chowdary_og_labeled,3,0.7538461538461538,1.0,0.866
SMHDD_1.0,chowdary_og_labeled,4,0.7538461538461538,1.0,0.776
SMHDD_1.0,chowdary_og_labeled,5,0.7538461538461538,1.0,0.878
SMHDD_1.0,chowdary_og_labeled,6,0.7538461538461538,1.0,0.75
