algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,0.758168574401665,0.975,0.722
SMHDD_1.0,alon_og_labeled,2,0.7604578563995839,0.975,0.478
SMHDD_1.0,alon_og_labeled,3,0.7571279916753382,1.0,0.431
SMHDD_1.0,alon_og_labeled,4,0.7567117585848074,0.975,0.486
SMHDD_1.0,alon_og_labeled,5,0.7604578563995839,1.0,0.406
SMHDD_1.0,alon_og_labeled,6,0.7571279916753382,1.0,0.575
SMHDD_1.0,alon_og_labeled,7,0.7604578563995839,0.975,0.445
SMHDD_1.0,alon_og_labeled,8,0.7571279916753382,1.0,0.562
SMHDD_1.0,alon_og_labeled,9,0.7604578563995839,0.975,0.464
SMHDD_1.0,alon_og_labeled,10,0.75525494276795,1.0,0.409
SMHDD_1.0,burczynski_og_labeled,1,0.8703825407650815,1.0,12.932
SMHDD_1.0,burczynski_og_labeled,2,0.8694897389794779,1.0,11.515
SMHDD_1.0,burczynski_og_labeled,3,0.8695889391778783,1.0,10.702
SMHDD_1.0,burczynski_og_labeled,4,0.8718457436914873,1.0,15.85
SMHDD_1.0,burczynski_og_labeled,5,0.8681257362514725,1.0,15.282
SMHDD_1.0,burczynski_og_labeled,6,0.8720689441378882,1.0,14.155
SMHDD_1.0,burczynski_og_labeled,7,0.8703825407650815,1.0,12.695
SMHDD_1.0,burczynski_og_labeled,8,0.8690433380866761,1.0,11.008
SMHDD_1.0,burczynski_og_labeled,9,0.8701593403186806,1.0,11.362
SMHDD_1.0,burczynski_og_labeled,10,0.8685721371442743,1.0,14.392
SMHDD_1.0,chiaretti_og_labeled,1,0.736181640625,0.972972972972973,4.252
SMHDD_1.0,chiaretti_og_labeled,2,0.7353515625,0.9054054054054054,4.704
SMHDD_1.0,chiaretti_og_labeled,3,0.7365234375,0.9054054054054054,5.011
SMHDD_1.0,chiaretti_og_labeled,4,0.735205078125,0.9054054054054054,4.59
SMHDD_1.0,chiaretti_og_labeled,5,0.735693359375,0.9054054054054054,4.13
SMHDD_1.0,chiaretti_og_labeled,6,0.735693359375,0.9054054054054054,4.275
SMHDD_1.0,chiaretti_og_labeled,7,0.737353515625,0.972972972972973,4.725
SMHDD_1.0,chiaretti_og_labeled,8,0.7353515625,0.9054054054054054,4.85
SMHDD_1.0,chiaretti_og_labeled,9,0.735546875,0.9054054054054054,4.033
SMHDD_1.0,chiaretti_og_labeled,10,0.7365234375,0.9054054054054054,4.305
SMHDD_1.0,chin_og_labeled,1,0.7764722780810113,1.0,12.216
SMHDD_1.0,chin_og_labeled,2,0.7810686584314853,0.9866666666666667,11.986
SMHDD_1.0,chin_og_labeled,3,0.7792588336684861,0.9866666666666667,12.103
SMHDD_1.0,chin_og_labeled,4,0.7783395575983914,1.0,10.142
SMHDD_1.0,chin_og_labeled,5,0.778626831370296,1.0,11.547
