algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,28.5,0.825,2.41
SMHDD_1.0,alon_og_labeled,2,26.2,0.95,0.932
SMHDD_1.0,alon_og_labeled,3,25.9,0.925,1.098
SMHDD_1.0,alon_og_labeled,4,24.8,0.85,0.746
SMHDD_1.0,alon_og_labeled,5,24.3,0.9,1.108
SMHDD_1.0,alon_og_labeled,6,24.1,0.85,0.604
SMHDD_1.0,alon_og_labeled,7,28.1,0.85,1.2
SMHDD_1.0,alon_og_labeled,8,25.1,0.95,1.115
SMHDD_1.0,alon_og_labeled,9,24.8,0.875,1.37
SMHDD_1.0,alon_og_labeled,10,26.2,0.95,1.587
SMHDD_1.0,burczynski_og_labeled,1,42.6,0.7966101694915254,15.435
SMHDD_1.0,burczynski_og_labeled,2,42.3,0.7966101694915254,15.57
SMHDD_1.0,burczynski_og_labeled,3,43.4,0.7966101694915254,14.822
SMHDD_1.0,burczynski_og_labeled,4,43.8,0.9152542372881356,19.473
SMHDD_1.0,burczynski_og_labeled,5,46.1,0.8983050847457628,19.588
SMHDD_1.0,burczynski_og_labeled,6,43.4,0.8983050847457628,22.004
SMHDD_1.0,burczynski_og_labeled,7,45.3,0.8813559322033898,22.654
SMHDD_1.0,burczynski_og_labeled,8,41.6,0.7966101694915254,13.809
SMHDD_1.0,burczynski_og_labeled,9,40.6,0.7966101694915254,11.278
SMHDD_1.0,burczynski_og_labeled,10,42.7,0.7966101694915254,24.783
SMHDD_1.0,chiaretti_og_labeled,1,55.4,0.918918918918919,22.129
SMHDD_1.0,chiaretti_og_labeled,2,50.0,0.8513513513513513,12.675
SMHDD_1.0,chiaretti_og_labeled,3,55.4,0.9864864864864865,26.684
SMHDD_1.0,chiaretti_og_labeled,4,54.7,0.7972972972972973,16.028
SMHDD_1.0,chiaretti_og_labeled,5,63.4,0.9459459459459459,64.961
SMHDD_1.0,chiaretti_og_labeled,6,61.8,0.9459459459459459,27.04
SMHDD_1.0,chiaretti_og_labeled,7,53.0,0.8918918918918919,15.267
SMHDD_1.0,chiaretti_og_labeled,8,54.7,1.0,25.484
SMHDD_1.0,chiaretti_og_labeled,9,48.5,0.7162162162162162,11.999
SMHDD_1.0,chiaretti_og_labeled,10,56.8,0.9864864864864865,22.27
SMHDD_1.0,chin_og_labeled,1,66.9,0.9866666666666667,30.243
SMHDD_1.0,chin_og_labeled,2,67.2,0.9733333333333334,52.626
SMHDD_1.0,chin_og_labeled,3,67.7,0.9866666666666667,24.155
SMHDD_1.0,chin_og_labeled,4,67.5,0.9866666666666667,40.312
SMHDD_1.0,chin_og_labeled,5,65.3,0.9866666666666667,38.994
SMHDD_1.0,chin_og_labeled,6,67.4,0.9866666666666667,42.553
SMHDD_1.0,chin_og_labeled,7,65.9,0.9866666666666667,39.256
SMHDD_1.0,chin_og_labeled,8,67.6,0.9866666666666667,41.258
SMHDD_1.0,chin_og_labeled,9,67.8,0.9866666666666667,37.702
SMHDD_1.0,chin_og_labeled,10,68.5,1.0,44.329
SMHDD_1.0,chowdary_og_labeled,1,49.2,0.9354838709677419,14.437
SMHDD_1.0,chowdary_og_labeled,2,48.1,0.9354838709677419,18.062
SMHDD_1.0,chowdary_og_labeled,3,48.2,0.9838709677419355,13.234
SMHDD_1.0,chowdary_og_labeled,4,46.6,0.9354838709677419,12.661
SMHDD_1.0,chowdary_og_labeled,5,48.5,0.9354838709677419,11.91
SMHDD_1.0,chowdary_og_labeled,6,48.7,0.9354838709677419,12.416
SMHDD_1.0,chowdary_og_labeled,7,48.1,0.9354838709677419,12.786
SMHDD_1.0,chowdary_og_labeled,8,48.1,0.9354838709677419,12.483
SMHDD_1.0,chowdary_og_labeled,9,48.1,0.9354838709677419,13.481
SMHDD_1.0,chowdary_og_labeled,10,48.2,0.9354838709677419,11.635
SMHDD_1.0,christensen_og_labeled,1,102.4,1.0,0.474
SMHDD_1.0,christensen_og_labeled,2,104.3,1.0,0.588
