algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,18.4,0.85,0.655
SMHDD_1.0,alon_og_labeled,2,18.6,0.9,0.458
SMHDD_1.0,alon_og_labeled,3,18.7,0.9,0.344
SMHDD_1.0,alon_og_labeled,4,18.7,0.9,0.365
SMHDD_1.0,alon_og_labeled,5,18.6,0.9,0.37
SMHDD_1.0,alon_og_labeled,6,18.5,0.9,0.371
SMHDD_1.0,alon_og_labeled,7,18.6,0.9,0.35
SMHDD_1.0,alon_og_labeled,8,18.4,0.85,0.443
SMHDD_1.0,alon_og_labeled,9,18.4,0.9,0.37
SMHDD_1.0,alon_og_labeled,10,18.8,0.9,0.658
SMHDD_1.0,burczynski_og_labeled,1,26.8,0.7288135593220338,10.997
SMHDD_1.0,burczynski_og_labeled,2,27.1,0.7288135593220338,12.169
SMHDD_1.0,burczynski_og_labeled,3,27.3,0.7457627118644068,12.937
SMHDD_1.0,burczynski_og_labeled,4,26.6,0.6610169491525424,9.031
SMHDD_1.0,burczynski_og_labeled,5,27.0,0.7966101694915254,12.565
SMHDD_1.0,burczynski_og_labeled,6,26.3,0.7288135593220338,8.478
SMHDD_1.0,burczynski_og_labeled,7,20.6,0.711864406779661,5.528
SMHDD_1.0,burczynski_og_labeled,8,27.4,0.8135593220338984,14.914
SMHDD_1.0,burczynski_og_labeled,9,21.0,0.7288135593220338,5.558
SMHDD_1.0,burczynski_og_labeled,10,28.1,0.7966101694915254,13.16
SMHDD_1.0,chiaretti_og_labeled,1,31.0,0.7972972972972973,5.578
SMHDD_1.0,chiaretti_og_labeled,2,30.7,0.7702702702702703,5.311
SMHDD_1.0,chiaretti_og_labeled,3,31.1,0.7972972972972973,4.883
SMHDD_1.0,chiaretti_og_labeled,4,31.4,0.8108108108108109,6.172
SMHDD_1.0,chiaretti_og_labeled,5,31.1,0.7972972972972973,5.568
SMHDD_1.0,chiaretti_og_labeled,6,31.1,0.8108108108108109,5.383
SMHDD_1.0,chiaretti_og_labeled,7,31.4,0.7972972972972973,6.905
SMHDD_1.0,chiaretti_og_labeled,8,31.1,0.7972972972972973,6.054
SMHDD_1.0,chiaretti_og_labeled,9,31.3,0.8108108108108109,4.953
SMHDD_1.0,chiaretti_og_labeled,10,30.4,0.5135135135135135,2.879
SMHDD_1.0,chin_og_labeled,1,34.5,0.9066666666666666,11.214
SMHDD_1.0,chin_og_labeled,2,36.7,0.9066666666666666,13.977
SMHDD_1.0,chin_og_labeled,3,40.7,0.6533333333333333,17.254
SMHDD_1.0,chin_og_labeled,4,35.4,0.92,9.089
SMHDD_1.0,chin_og_labeled,5,36.8,0.7466666666666667,11.867
SMHDD_1.0,chin_og_labeled,6,38.2,0.92,8.529
SMHDD_1.0,chin_og_labeled,7,36.5,0.84,8.733
SMHDD_1.0,chin_og_labeled,8,41.8,0.8933333333333333,18.517
SMHDD_1.0,chin_og_labeled,9,39.7,0.8133333333333334,13.278
SMHDD_1.0,chin_og_labeled,10,40.4,0.6,14.578
SMHDD_1.0,chowdary_og_labeled,1,38.6,0.9032258064516129,4.297
SMHDD_1.0,chowdary_og_labeled,2,38.6,0.8387096774193549,4.144
SMHDD_1.0,chowdary_og_labeled,3,40.8,0.9838709677419355,7.651
SMHDD_1.0,chowdary_og_labeled,4,38.5,0.6935483870967742,3.601
SMHDD_1.0,chowdary_og_labeled,5,45.3,0.8064516129032258,15.14
SMHDD_1.0,chowdary_og_labeled,6,42.0,0.9838709677419355,9.692
SMHDD_1.0,chowdary_og_labeled,7,41.1,0.9516129032258065,5.689
SMHDD_1.0,chowdary_og_labeled,8,38.5,0.8870967741935484,4.8
SMHDD_1.0,chowdary_og_labeled,9,38.6,0.8387096774193549,4.105
SMHDD_1.0,chowdary_og_labeled,10,39.5,1.0,7.062
SMHDD_1.0,christensen_og_labeled,1,95.8,0.9646017699115044,0.938
SMHDD_1.0,christensen_og_labeled,2,95.8,0.9646017699115044,0.998
SMHDD_1.0,christensen_og_labeled,3,95.5,0.9646017699115044,0.542
SMHDD_1.0,christensen_og_labeled,4,95.8,0.9646017699115044,0.591
SMHDD_1.0,christensen_og_labeled,5,95.8,0.9646017699115044,0.812
SMHDD_1.0,christensen_og_labeled,6,95.7,0.9646017699115044,0.719
SMHDD_1.0,christensen_og_labeled,7,95.8,0.9646017699115044,1.004
SMHDD_1.0,christensen_og_labeled,8,95.8,0.9646017699115044,0.569
SMHDD_1.0,christensen_og_labeled,9,95.8,0.9646017699115044,0.678
SMHDD_1.0,christensen_og_labeled,10,95.9,0.9646017699115044,0.638
SMHDD_1.0,golub_og_labeled,1,41.8,1.0,1.926
SMHDD_1.0,golub_og_labeled,2,42.1,1.0,2.105
SMHDD_1.0,golub_og_labeled,3,40.4,1.0,1.458
SMHDD_1.0,golub_og_labeled,4,41.6,1.0,2.073
SMHDD_1.0,golub_og_labeled,5,42.1,1.0,2.2
SMHDD_1.0,golub_og_labeled,6,42.1,1.0,1.933
SMHDD_1.0,golub_og_labeled,7,42.0,1.0,2.532
SMHDD_1.0,golub_og_labeled,8,42.2,1.0,2.277
SMHDD_1.0,golub_og_labeled,9,42.1,1.0,2.292
SMHDD_1.0,golub_og_labeled,10,41.9,1.0,1.782
SMHDD_1.0,gordon_og_labeled,1,136.3,1.0,4.298
SMHDD_1.0,gordon_og_labeled,2,139.4,1.0,5.253
SMHDD_1.0,gordon_og_labeled,3,137.3,1.0,4.699
SMHDD_1.0,gordon_og_labeled,4,136.6,1.0,4.187
SMHDD_1.0,gordon_og_labeled,5,137.6,1.0,4.043
SMHDD_1.0,gordon_og_labeled,6,137.5,1.0,4.239
SMHDD_1.0,gordon_og_labeled,7,136.5,1.0,3.625
SMHDD_1.0,gordon_og_labeled,8,137.9,1.0,4.104
SMHDD_1.0,gordon_og_labeled,9,137.5,1.0,4.271
SMHDD_1.0,gordon_og_labeled,10,135.8,1.0,4.241
SMHDD_1.0,gravier_og_labeled,1,45.7,0.8468468468468469,0.996
SMHDD_1.0,gravier_og_labeled,2,47.4,0.8378378378378378,0.877
SMHDD_1.0,gravier_og_labeled,3,45.6,0.8018018018018018,0.956
SMHDD_1.0,gravier_og_labeled,4,48.7,0.7927927927927928,1.569
SMHDD_1.0,gravier_og_labeled,5,47.3,0.7387387387387387,1.269
SMHDD_1.0,gravier_og_labeled,6,47.1,0.7567567567567568,1.141
SMHDD_1.0,gravier_og_labeled,7,47.3,0.6756756756756757,1.977
SMHDD_1.0,gravier_og_labeled,8,48.2,0.7747747747747747,1.787
SMHDD_1.0,gravier_og_labeled,9,47.3,0.8558558558558559,1.632
SMHDD_1.0,gravier_og_labeled,10,48.1,0.8648648648648649,1.596
SMHDD_1.0,khan_og_labeled,1,11.6,0.6956521739130435,0.356
SMHDD_1.0,khan_og_labeled,2,11.6,0.6956521739130435,0.398
SMHDD_1.0,khan_og_labeled,3,11.6,0.782608695652174,0.312
SMHDD_1.0,khan_og_labeled,4,11.6,0.782608695652174,0.293
SMHDD_1.0,khan_og_labeled,5,10.9,0.8695652173913043,0.338
SMHDD_1.0,khan_og_labeled,6,11.5,0.6956521739130435,0.314
SMHDD_1.0,khan_og_labeled,7,11.6,0.6956521739130435,0.358
SMHDD_1.0,khan_og_labeled,8,11.4,0.6956521739130435,0.332
SMHDD_1.0,khan_og_labeled,9,11.4,0.7391304347826086,0.354
SMHDD_1.0,khan_og_labeled,10,11.6,0.6956521739130435,0.305
SMHDD_1.0,nakayama_og_labeled,1,11.0,1.0,9.11
SMHDD_1.0,nakayama_og_labeled,2,15.4,0.8095238095238095,14.961
SMHDD_1.0,nakayama_og_labeled,3,15.4,0.9047619047619048,10.787
SMHDD_1.0,nakayama_og_labeled,4,11.2,0.8571428571428571,6.499
SMHDD_1.0,nakayama_og_labeled,5,12.8,0.9047619047619048,8.646
SMHDD_1.0,nakayama_og_labeled,6,10.6,0.9523809523809523,8.811
SMHDD_1.0,nakayama_og_labeled,7,12.9,0.9523809523809523,11.499
SMHDD_1.0,nakayama_og_labeled,8,13.5,1.0,9.892
SMHDD_1.0,nakayama_og_labeled,9,14.2,1.0,12.497
SMHDD_1.0,nakayama_og_labeled,10,12.4,1.0,9.926
SMHDD_1.0,pomeroy_og_labeled,1,12.5,0.9743589743589743,0.79
SMHDD_1.0,pomeroy_og_labeled,2,14.4,0.8974358974358975,1.353
SMHDD_1.0,pomeroy_og_labeled,3,14.3,0.8974358974358975,1.581
SMHDD_1.0,pomeroy_og_labeled,4,12.5,0.9743589743589743,0.895
SMHDD_1.0,pomeroy_og_labeled,5,12.5,0.9743589743589743,0.729
SMHDD_1.0,pomeroy_og_labeled,6,16.8,0.8717948717948718,2.869
SMHDD_1.0,pomeroy_og_labeled,7,12.5,0.9743589743589743,0.956
SMHDD_1.0,pomeroy_og_labeled,8,12.6,0.9743589743589743,0.923
SMHDD_1.0,pomeroy_og_labeled,9,15.0,0.9743589743589743,1.386
SMHDD_1.0,pomeroy_og_labeled,10,12.9,0.9487179487179487,0.745
SMHDD_1.0,shipp_og_labeled,1,37.0,0.9655172413793104,2.568
SMHDD_1.0,shipp_og_labeled,2,27.7,0.8793103448275862,1.116
SMHDD_1.0,shipp_og_labeled,3,36.7,0.9655172413793104,4.19
SMHDD_1.0,shipp_og_labeled,4,37.5,0.9655172413793104,4.223
SMHDD_1.0,shipp_og_labeled,5,28.0,0.9482758620689655,1.052
SMHDD_1.0,shipp_og_labeled,6,31.9,0.9655172413793104,1.295
SMHDD_1.0,shipp_og_labeled,7,34.8,0.9655172413793104,2.447
SMHDD_1.0,shipp_og_labeled,8,34.0,0.9655172413793104,2.625
SMHDD_1.0,shipp_og_labeled,9,37.5,0.9827586206896551,2.934
SMHDD_1.0,shipp_og_labeled,10,37.3,0.9655172413793104,2.938
SMHDD_1.0,singh_og_labeled,1,43.6,0.9807692307692307,7.505
SMHDD_1.0,singh_og_labeled,2,43.8,0.9615384615384616,11.381
SMHDD_1.0,singh_og_labeled,3,43.1,0.9615384615384616,8.89
SMHDD_1.0,singh_og_labeled,4,44.3,0.9807692307692307,10.102
SMHDD_1.0,singh_og_labeled,5,44.8,0.9423076923076923,11.523
SMHDD_1.0,singh_og_labeled,6,43.6,0.9807692307692307,6.663
SMHDD_1.0,singh_og_labeled,7,45.0,0.9615384615384616,10.145
SMHDD_1.0,singh_og_labeled,8,45.0,0.9807692307692307,10.964
SMHDD_1.0,singh_og_labeled,9,44.5,0.9615384615384616,10.722
SMHDD_1.0,singh_og_labeled,10,43.8,0.9807692307692307,7.642
SMHDD_1.0,sorlie_og_labeled,1,10.0,0.9375,0.107
SMHDD_1.0,sorlie_og_labeled,2,10.2,0.9375,0.124
SMHDD_1.0,sorlie_og_labeled,3,10.2,0.9375,0.105
SMHDD_1.0,sorlie_og_labeled,4,10.1,0.90625,0.09
SMHDD_1.0,sorlie_og_labeled,5,10.2,0.875,0.149
SMHDD_1.0,sorlie_og_labeled,6,10.2,0.96875,0.104
SMHDD_1.0,sorlie_og_labeled,7,10.2,0.90625,0.121
SMHDD_1.0,sorlie_og_labeled,8,9.9,0.875,0.079
SMHDD_1.0,sorlie_og_labeled,9,9.9,0.90625,0.096
