algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,0.6505723204994797,0.975,0.585
SMHDD_1.0,alon_og_labeled,2,0.6480749219562956,0.975,0.337
SMHDD_1.0,alon_og_labeled,3,0.6545265348595214,0.975,0.395
SMHDD_1.0,alon_og_labeled,4,0.6349635796045786,0.975,0.273
SMHDD_1.0,alon_og_labeled,5,0.6466181061394383,0.975,0.403
SMHDD_1.0,alon_og_labeled,6,0.6474505723204994,0.95,0.427
SMHDD_1.0,alon_og_labeled,7,0.6514047866805412,0.975,0.436
SMHDD_1.0,alon_og_labeled,8,0.6536940686784598,0.975,0.295
SMHDD_1.0,alon_og_labeled,9,0.6549427679500519,0.975,0.417
SMHDD_1.0,alon_og_labeled,10,0.6526534859521332,0.975,0.419
SMHDD_1.0,burczynski_og_labeled,1,0.8140368280736562,0.9152542372881356,18.468
SMHDD_1.0,burczynski_og_labeled,2,0.7997519995039991,0.9491525423728814,14.343
SMHDD_1.0,burczynski_og_labeled,3,0.8133672267344535,0.9152542372881356,17.942
SMHDD_1.0,burczynski_og_labeled,4,0.7943455886911776,0.9322033898305084,18.956
SMHDD_1.0,burczynski_og_labeled,5,0.8119040238080476,0.9152542372881356,21.11
SMHDD_1.0,burczynski_og_labeled,6,0.8094240188480377,0.9152542372881356,14.459
SMHDD_1.0,burczynski_og_labeled,7,0.8082088164176329,0.8983050847457628,13.453
SMHDD_1.0,burczynski_og_labeled,8,0.8026784053568108,0.9152542372881356,13.863
SMHDD_1.0,burczynski_og_labeled,9,0.8094240188480377,0.9152542372881356,13.859
SMHDD_1.0,burczynski_og_labeled,10,0.8192200384400768,0.9152542372881356,17.109
SMHDD_1.0,chiaretti_og_labeled,1,0.746240234375,0.9459459459459459,3.994
SMHDD_1.0,chiaretti_og_labeled,2,0.744140625,0.9459459459459459,4.297
SMHDD_1.0,chiaretti_og_labeled,3,0.744873046875,0.918918918918919,5.118
SMHDD_1.0,chiaretti_og_labeled,4,0.7447265625,0.9459459459459459,4.641
SMHDD_1.0,chiaretti_og_labeled,5,0.746240234375,0.9459459459459459,3.699
SMHDD_1.0,chiaretti_og_labeled,6,0.74736328125,0.9459459459459459,4.942
SMHDD_1.0,chiaretti_og_labeled,7,0.73974609375,0.918918918918919,3.402
SMHDD_1.0,chiaretti_og_labeled,8,0.747998046875,0.9459459459459459,4.395
SMHDD_1.0,chiaretti_og_labeled,9,0.74375,0.9324324324324325,5.229
SMHDD_1.0,chiaretti_og_labeled,10,0.751513671875,0.9459459459459459,5.21
SMHDD_1.0,chin_og_labeled,1,0.7841999425452456,0.9866666666666667,17.012
SMHDD_1.0,chin_og_labeled,2,0.7872737719046252,0.9866666666666667,12.875
SMHDD_1.0,chin_og_labeled,3,0.79316288422867,0.9866666666666667,18.16
SMHDD_1.0,chin_og_labeled,4,0.7900603274921001,0.9733333333333334,13.797
SMHDD_1.0,chin_og_labeled,5,0.792846883079575,0.9733333333333334,17.821
SMHDD_1.0,chin_og_labeled,6,0.8042516518241886,0.9866666666666667,21.043
SMHDD_1.0,chin_og_labeled,7,0.7758115484056307,0.9733333333333334,6.867
SMHDD_1.0,chin_og_labeled,8,0.7873024992818156,0.9733333333333334,16.168
SMHDD_1.0,chin_og_labeled,9,0.7879057742028154,0.9866666666666667,18.666
SMHDD_1.0,chin_og_labeled,10,0.7727951738006321,0.9866666666666667,8.622
SMHDD_1.0,chowdary_og_labeled,1,0.8748520710059171,1.0,12.212
SMHDD_1.0,chowdary_og_labeled,2,0.885059171597633,1.0,9.478
SMHDD_1.0,chowdary_og_labeled,3,0.8764792899408285,1.0,11.722
SMHDD_1.0,chowdary_og_labeled,4,0.8766272189349109,1.0,8.888
SMHDD_1.0,chowdary_og_labeled,5,0.8773668639053256,1.0,8.568
