algorithm,dataset,repetition,quality,supp+,time
SMHDD_1.0,alon_og_labeled,1,0.8158168574401665,1.0,7.193
SMHDD_1.0,alon_og_labeled,2,0.8066597294484913,0.975,5.435
SMHDD_1.0,alon_og_labeled,3,0.8199791883454735,0.975,3.726
SMHDD_1.0,alon_og_labeled,4,0.8226847034339231,1.0,6.356
SMHDD_1.0,alon_og_labeled,5,0.8074921956295528,0.975,6.289
SMHDD_1.0,alon_og_labeled,6,0.8199791883454735,1.0,5.826
SMHDD_1.0,alon_og_labeled,7,0.8360041623309054,1.0,6.996
SMHDD_1.0,alon_og_labeled,8,0.8172736732570239,0.975,5.069
SMHDD_1.0,alon_og_labeled,9,0.8154006243496358,0.975,3.773
SMHDD_1.0,alon_og_labeled,10,0.8176899063475547,0.975,4.462
SMHDD_1.0,burczynski_og_labeled,1,0.9293818587637175,1.0,85.37
SMHDD_1.0,burczynski_og_labeled,2,0.93253146506293,1.0,110.025
SMHDD_1.0,burczynski_og_labeled,3,0.9324322648645296,1.0,83.452
SMHDD_1.0,burczynski_og_labeled,4,0.9273730547461094,1.0,91.953
SMHDD_1.0,burczynski_og_labeled,5,0.9296050592101184,1.0,88.331
SMHDD_1.0,burczynski_og_labeled,6,0.9287122574245149,1.0,88.592
SMHDD_1.0,burczynski_og_labeled,7,0.9305226610453221,1.0,77.574
SMHDD_1.0,burczynski_og_labeled,8,0.9268026536053074,1.0,69.191
SMHDD_1.0,burczynski_og_labeled,9,0.9302746605493211,1.0,81.411
SMHDD_1.0,burczynski_og_labeled,10,0.9303986607973215,1.0,83.9
SMHDD_1.0,chiaretti_og_labeled,1,0.884326171875,0.9864864864864865,40.686
SMHDD_1.0,chiaretti_og_labeled,2,0.89072265625,1.0,63.668
SMHDD_1.0,chiaretti_og_labeled,3,0.8822265625,1.0,36.1
SMHDD_1.0,chiaretti_og_labeled,4,0.8884765625,1.0,45.01
SMHDD_1.0,chiaretti_og_labeled,5,0.888623046875,1.0,64.743
SMHDD_1.0,chiaretti_og_labeled,6,0.889111328125,1.0,63.428
SMHDD_1.0,chiaretti_og_labeled,7,0.891259765625,1.0,63.261
SMHDD_1.0,chiaretti_og_labeled,8,0.88828125,1.0,71.751
SMHDD_1.0,chiaretti_og_labeled,9,0.89208984375,1.0,80.062
SMHDD_1.0,chiaretti_og_labeled,10,0.894189453125,1.0,74.195
SMHDD_1.0,chin_og_labeled,1,0.8517954610744038,1.0,70.807
SMHDD_1.0,chin_og_labeled,2,0.8530020109164032,1.0,65.627
SMHDD_1.0,chin_og_labeled,3,0.8530020109164033,1.0,105.492
SMHDD_1.0,chin_og_labeled,4,0.8536052858374029,1.0,105.386
SMHDD_1.0,chin_og_labeled,5,0.8545532892846882,1.0,95.188
SMHDD_1.0,chin_og_labeled,6,0.8517954610744038,1.0,67.988
SMHDD_1.0,chin_og_labeled,7,0.8508474576271187,1.0,60.6
SMHDD_1.0,chin_og_labeled,8,0.8517954610744038,1.0,64.331
SMHDD_1.0,chin_og_labeled,9,0.855472565354783,1.0,58.554
SMHDD_1.0,chin_og_labeled,10,0.8520827348463085,1.0,58.623
SMHDD_1.0,chowdary_og_labeled,1,0.883284023668639,1.0,54.841
SMHDD_1.0,chowdary_og_labeled,2,0.883284023668639,1.0,82.707
SMHDD_1.0,chowdary_og_labeled,3,0.8818047337278105,1.0,75.338
SMHDD_1.0,chowdary_og_labeled,4,0.8764053254437869,1.0,45.092
SMHDD_1.0,chowdary_og_labeled,5,0.8840236686390532,1.0,91.384
SMHDD_1.0,chowdary_og_labeled,6,0.880991124260355,1.0,60.562
SMHDD_1.0,chowdary_og_labeled,7,0.8795118343195266,1.0,57.138
SMHDD_1.0,chowdary_og_labeled,8,0.8801035502958581,1.0,93.705
SMHDD_1.0,chowdary_og_labeled,9,0.8857988165680473,1.0,64.019
SMHDD_1.0,chowdary_og_labeled,10,0.8833579881656805,1.0,60.965
SMHDD_1.0,christensen_og_labeled,1,0.911558962815095,1.0,1.863
SMHDD_1.0,christensen_og_labeled,2,0.913436258998917,1.0,1.667
SMHDD_1.0,christensen_og_labeled,3,0.9203508250334475,1.0,1.861
SMHDD_1.0,christensen_og_labeled,4,0.9269256089532588,1.0,1.855
SMHDD_1.0,christensen_og_labeled,5,0.9092484444350062,1.0,1.633
SMHDD_1.0,christensen_og_labeled,6,0.9113211153347915,1.0,1.76
SMHDD_1.0,christensen_og_labeled,7,0.9076344793900912,1.0,1.595
SMHDD_1.0,christensen_og_labeled,8,0.922389517721761,1.0,1.918
SMHDD_1.0,christensen_og_labeled,9,0.9199260973900486,1.0,1.75
SMHDD_1.0,christensen_og_labeled,10,0.9141328123340908,1.0,1.775
SMHDD_1.0,golub_og_labeled,1,0.8412808641975309,1.0,6.363
SMHDD_1.0,golub_og_labeled,2,0.84320987654321,1.0,5.909
SMHDD_1.0,golub_og_labeled,3,0.8359567901234568,1.0,6.036
SMHDD_1.0,golub_og_labeled,4,0.8412808641975309,1.0,5.839
SMHDD_1.0,golub_og_labeled,5,0.8395833333333333,1.0,6.051
SMHDD_1.0,golub_og_labeled,6,0.8449074074074074,1.0,5.714
SMHDD_1.0,golub_og_labeled,7,0.8393518518518519,1.0,6.459
SMHDD_1.0,golub_og_labeled,8,0.841743827160494,1.0,6.758
SMHDD_1.0,golub_og_labeled,9,0.8415123456790123,1.0,6.657
SMHDD_1.0,golub_og_labeled,10,0.8366512345679012,1.0,6.277
SMHDD_1.0,gordon_og_labeled,1,0.5166508958822991,1.0,24.803
SMHDD_1.0,gordon_og_labeled,2,0.5228289734745581,1.0,21.144
SMHDD_1.0,gordon_og_labeled,3,0.5211928817801654,1.0,22.375
SMHDD_1.0,gordon_og_labeled,4,0.5193003876560545,1.0,19.192
SMHDD_1.0,gordon_og_labeled,5,0.5185433900064099,1.0,21.672
SMHDD_1.0,gordon_og_labeled,6,0.5201184335032508,1.0,22.07
SMHDD_1.0,gordon_og_labeled,7,0.5185433900064099,1.0,22.016
SMHDD_1.0,gordon_og_labeled,8,0.5189218888312321,1.0,23.934
SMHDD_1.0,gordon_og_labeled,9,0.5189218888312321,1.0,24.32
SMHDD_1.0,gordon_og_labeled,10,0.5212539299777175,1.0,24.819
SMHDD_1.0,gravier_og_labeled,1,0.7857142857142859,1.0,70.093
SMHDD_1.0,gravier_og_labeled,2,0.784906462585034,0.990990990990991,54.08
