algorithm,dataset,repetition,quality,supp+,time
SD-pn-freq-2_binary,alon,1,0.5575442247658688,0.925,0.322
SD-pn-freq-2_binary,alon,2,0.5575442247658688,0.925,0.264
SD-pn-freq-2_binary,alon,3,0.5575442247658688,0.925,0.284
SD-pn-freq-2_binary,alon,4,0.5575442247658688,0.925,0.28
SD-pn-freq-2_binary,alon,5,0.5575442247658688,0.925,0.279
SD-pn-freq-2_binary,alon,6,0.5575442247658688,0.925,0.277
SD-pn-freq-2_binary,alon,7,0.5575442247658688,0.925,0.274
SD-pn-freq-2_binary,alon,8,0.5575442247658688,0.925,0.275
SD-pn-freq-2_binary,alon,9,0.5575442247658688,0.925,0.274
SD-pn-freq-2_binary,alon,10,0.5575442247658688,0.925,0.278
SSDP+-pn-freq-2_binary,alon,1,0.5529656607700313,0.925,0.232
SSDP+-pn-freq-2_binary,alon,2,0.5529656607700313,0.925,0.192
SSDP+-pn-freq-2_binary,alon,3,0.5506763787721124,0.925,0.191
SSDP+-pn-freq-2_binary,alon,4,0.5525494276795005,0.925,0.164
SSDP+-pn-freq-2_binary,alon,5,0.5525494276795005,0.925,0.165
SSDP+-pn-freq-2_binary,alon,6,0.5506763787721124,0.925,0.16
SSDP+-pn-freq-2_binary,alon,7,0.5529656607700313,0.925,0.164
SSDP+-pn-freq-2_binary,alon,8,0.5506763787721124,0.925,0.16
SSDP+-pn-freq-2_binary,alon,9,0.5529656607700313,0.925,0.168
SSDP+-pn-freq-2_binary,alon,10,0.5506763787721124,0.925,0.169
SMHDD-pn-freq-2_binary,alon,1,0.5529656607700313,0.925,0.138
SMHDD-pn-freq-2_binary,alon,2,0.5529656607700313,0.925,0.061
SMHDD-pn-freq-2_binary,alon,3,0.5506763787721124,0.925,0.064
SMHDD-pn-freq-2_binary,alon,4,0.5525494276795005,0.925,0.054
SMHDD-pn-freq-2_binary,alon,5,0.5525494276795005,0.925,0.053
SMHDD-pn-freq-2_binary,alon,6,0.5506763787721124,0.925,0.049
SMHDD-pn-freq-2_binary,alon,7,0.5529656607700313,0.925,0.051
SMHDD-pn-freq-2_binary,alon,8,0.5506763787721124,0.925,0.046
SMHDD-pn-freq-2_binary,alon,9,0.5529656607700313,0.925,0.05
SMHDD-pn-freq-2_binary,alon,10,0.5506763787721124,0.925,0.049
SD-pn-freq-2_binary,burczynski,1,0.6797445594891188,0.9491525423728814,9.68
SD-pn-freq-2_binary,burczynski,2,0.6797445594891188,0.9491525423728814,9.777
SD-pn-freq-2_binary,burczynski,3,0.6797445594891188,0.9491525423728814,9.705
SD-pn-freq-2_binary,burczynski,4,0.6797445594891188,0.9491525423728814,9.707
SD-pn-freq-2_binary,burczynski,5,0.6797445594891188,0.9491525423728814,9.767
SD-pn-freq-2_binary,burczynski,6,0.6797445594891188,0.9491525423728814,9.643
SD-pn-freq-2_binary,burczynski,7,0.6797445594891188,0.9491525423728814,9.666
SD-pn-freq-2_binary,burczynski,8,0.6797445594891188,0.9491525423728814,9.742
