Data-set,SD-pn-freq-2-binary,SSDP+-pn-freq-2-binary,SMHDD-pn-freq-2-binary,SD-pn-freq-2-nominal,SSDP+-pn-freq-2-nominal,SMHDD-pn-freq-2-nominal,SD-pn-freq-4-binary,SSDP+-pn-freq-4-binary,SMHDD-pn-freq-4-binary,SD-pn-freq-4-nominal,SSDP+-pn-freq-4-nominal,SMHDD-pn-freq-4-nominal,SD-pn-freq-8-binary,SSDP+-pn-freq-8-binary,SMHDD-pn-freq-8-binary,SD-pn-freq-8-nominal,SSDP+-pn-freq-8-nominal,SMHDD-pn-freq-8-nominal,SD-pn-width-2-binary,SSDP+-pn-width-2-binary,SMHDD-pn-width-2-binary,SD-pn-width-2-nominal,SSDP+-pn-width-2-nominal,SMHDD-pn-width-2-nominal,SD-pn-width-4-binary,SSDP+-pn-width-4-binary,SMHDD-pn-width-4-binary,SD-pn-width-4-nominal,SSDP+-pn-width-4-nominal,SMHDD-pn-width-4-nominal,SD-pn-width-8-binary,SSDP+-pn-width-8-binary,SMHDD-pn-width-8-binary,SD-pn-width-8-nominal,SSDP+-pn-width-8-nominal,SMHDD-pn-width-8-nominal,SMHDD-1.0-freq-2-nominal,SMHDD-1.0-freq-4-binary,SMHDD-1.0-freq-4-nominal,SMHDD-1.0-freq-8-binary,SMHDD-1.0-freq-8-nominal,SMHDD-1.0-width-2-nominal,SMHDD-1.0-width-4-binary,SMHDD-1.0-width-4-nominal,SMHDD-1.0-width-8-binary,SMHDD-1.0-width-8-nominal
alon,24.1,23.8,23.8,24.1,24.0,24.0,15.2,28.6,28.6,15.3,15.3,15.3,26.8,31.5,31.5,8.0,8.0,8.0,13.2,17.4,17.4,13.2,15.1,15.1,20.6,25.3,25.3,11.7,18.2,18.2,22.6,23.5,23.5,17.8,18.5,18.5,23.8,32.5,16.0,34.8,8.1,17.3,28.5,18.9,32.9,18.4
alon,24.1,23.9,23.9,24.1,24.0,24.0,15.2,26.4,26.4,15.3,15.3,15.3,26.8,32.8,32.8,8.0,8.0,8.0,13.2,15.6,15.6,13.2,16.1,16.1,20.6,24.0,24.0,11.7,18.8,18.8,22.6,28.0,28.0,17.8,18.7,18.7,23.9,32.6,16.0,34.7,8.1,16.2,26.2,19.3,33.2,18.6
alon,24.1,24.0,24.0,24.1,23.9,23.9,15.2,28.5,28.5,15.3,15.3,15.3,26.8,32.5,32.5,8.0,8.0,8.0,13.2,16.2,16.2,13.2,14.7,14.7,20.6,25.8,25.8,11.7,18.7,18.7,22.6,28.3,28.3,17.8,18.4,18.4,23.8,32.7,16.0,34.7,8.1,17.4,25.9,18.9,32.3,18.7
alon,24.1,23.9,23.9,24.1,23.9,23.9,15.2,27.4,27.4,15.3,15.3,15.3,26.8,33.5,33.5,8.0,8.0,8.0,13.2,16.7,16.7,13.2,17.3,17.3,20.6,25.1,25.1,11.7,19.2,19.2,22.6,22.6,22.6,17.8,18.5,18.5,23.9,32.7,16.0,35.0,8.1,17.3,24.8,26.9,32.3,18.7
alon,24.1,23.9,23.9,24.1,24.0,24.0,15.2,26.9,26.9,15.3,15.3,15.3,26.8,32.4,32.4,8.0,8.0,8.0,13.2,14.7,14.7,13.2,17.2,17.2,20.6,24.8,24.8,11.7,19.4,19.4,22.6,27.2,27.2,17.8,18.9,18.9,24.0,32.1,16.0,35.4,8.1,14.4,24.3,17.9,33.6,18.6
alon,24.1,23.9,23.9,24.1,23.9,23.9,15.2,27.6,27.6,15.3,15.3,15.3,26.8,29.5,29.5,8.0,8.0,8.0,13.2,16.2,16.2,13.2,14.5,14.5,20.6,24.1,24.1,11.7,18.7,18.7,22.6,27.7,27.7,17.8,18.8,18.8,23.8,32.5,16.0,35.1,8.1,14.5,24.1,18.8,34.8,18.5
alon,24.1,23.9,23.9,24.1,23.9,23.9,15.2,25.7,25.7,15.3,15.3,15.3,26.8,29.6,29.6,8.0,8.0,8.0,13.2,17.2,17.2,13.2,17.2,17.2,20.6,23.2,23.2,11.7,19.3,19.3,22.6,25.1,25.1,17.8,18.6,18.6,23.8,32.4,16.0,34.6,8.1,17.2,28.1,19.1,32.7,18.6
alon,24.1,23.9,23.9,24.1,23.9,23.9,15.2,25.1,25.1,15.3,15.3,15.3,26.8,34.9,34.9,8.0,8.0,8.0,13.2,14.5,14.5,13.2,14.8,14.8,20.6,24.6,24.6,11.7,18.8,18.8,22.6,29.0,29.0,17.8,18.7,18.7,23.9,31.5,16.0,35.3,8.1,17.3,25.1,19.2,32.9,18.4
alon,24.1,23.9,23.9,24.1,23.8,23.8,15.2,27.4,27.4,15.3,15.3,15.3,26.8,33.8,33.8,8.0,8.0,8.0,13.2,15.4,15.4,13.2,14.5,14.5,20.6,25.9,25.9,11.7,19.2,19.2,22.6,32.6,32.6,17.8,18.3,18.3,24.0,32.4,16.0,33.7,8.1,16.0,24.8,19.2,32.7,18.4
alon,24.1,23.8,23.8,24.1,23.9,23.9,15.2,26.0,26.0,15.3,15.3,15.3,26.8,27.5,27.5,8.0,8.0,8.0,13.2,14.4,14.4,13.2,16.2,16.2,20.6,24.7,24.7,11.7,19.1,19.1,22.6,23.4,23.4,17.8,18.5,18.5,23.9,32.7,16.0,34.6,8.1,17.3,26.2,26.9,34.0,18.8
burczynski,32.9,37.5,37.5,32.9,37.5,37.5,30.0,45.4,45.4,24.9,24.8,24.8,16.0,43.2,43.2,16.0,16.0,16.0,19.4,33.9,33.9,19.4,34.2,34.2,17.5,44.5,44.5,22.7,35.8,35.8,19.8,45.2,45.2,23.5,26.8,26.8,37.7,48.1,24.2,47.1,16.0,32.2,42.6,34.6,43.5,26.8
burczynski,32.9,37.4,37.4,32.9,37.3,37.3,30.0,44.3,44.3,24.9,24.8,24.8,16.0,39.8,39.8,16.0,16.0,16.0,19.4,32.8,32.8,19.4,35.1,35.1,17.5,44.3,44.3,22.7,36.3,36.3,19.8,43.6,43.6,23.5,21.1,21.1,38.0,46.0,24.2,46.0,16.0,36.3,42.3,37.7,43.0,27.1
burczynski,32.9,37.3,37.3,32.9,37.4,37.4,30.0,44.3,44.3,24.9,24.8,24.8,16.0,42.6,42.6,16.0,16.0,16.0,19.4,31.6,31.6,19.4,31.7,31.7,17.5,43.4,43.4,22.7,36.5,36.5,19.8,43.1,43.1,23.5,20.6,20.6,37.8,47.8,24.2,46.8,16.0,31.8,43.4,35.0,43.8,27.3
burczynski,32.9,37.4,37.4,32.9,37.4,37.4,30.0,43.2,43.2,24.9,24.8,24.8,16.0,41.1,41.1,16.0,16.0,16.0,19.4,32.8,32.8,19.4,32.7,32.7,17.5,43.2,43.2,22.7,35.7,35.7,19.8,43.4,43.4,23.5,27.0,27.0,37.9,48.5,24.2,49.4,16.0,32.9,43.8,35.5,45.6,26.6
burczynski,32.9,37.4,37.4,32.9,37.4,37.4,30.0,43.6,43.6,24.9,24.8,24.8,16.0,42.7,42.7,16.0,16.0,16.0,19.4,32.3,32.3,19.4,32.3,32.3,17.5,47.9,47.9,22.7,36.8,36.8,19.8,44.0,44.0,23.5,25.9,25.9,37.9,47.7,24.2,47.6,16.0,32.3,46.1,35.9,44.6,27.0
burczynski,32.9,37.4,37.4,32.9,37.5,37.5,30.0,44.1,44.1,24.9,24.8,24.8,16.0,43.8,43.8,16.0,16.0,16.0,19.4,32.1,32.1,19.4,32.4,32.4,17.5,42.5,42.5,22.7,38.6,38.6,19.8,42.9,42.9,23.5,26.7,26.7,37.6,44.0,24.2,52.5,16.0,32.1,43.4,34.4,43.5,26.3
