algorithm,dataset,repetition,quality,supp+,time
SD-pn-freq-2_binary,alon,1,24.1,0.8,0.323
SD-pn-freq-2_binary,alon,2,24.1,0.8,0.264
SD-pn-freq-2_binary,alon,3,24.1,0.8,0.277
SD-pn-freq-2_binary,alon,4,24.1,0.8,0.276
SD-pn-freq-2_binary,alon,5,24.1,0.8,0.275
SD-pn-freq-2_binary,alon,6,24.1,0.8,0.274
SD-pn-freq-2_binary,alon,7,24.1,0.8,0.269
SD-pn-freq-2_binary,alon,8,24.1,0.8,0.269
SD-pn-freq-2_binary,alon,9,24.1,0.8,0.268
SD-pn-freq-2_binary,alon,10,24.1,0.8,0.273
SSDP+-pn-freq-2_binary,alon,1,23.8,0.8,0.295
SSDP+-pn-freq-2_binary,alon,2,23.9,0.825,0.243
SSDP+-pn-freq-2_binary,alon,3,24.0,0.85,0.223
SSDP+-pn-freq-2_binary,alon,4,23.9,0.875,0.221
SSDP+-pn-freq-2_binary,alon,5,23.9,0.8,0.218
SSDP+-pn-freq-2_binary,alon,6,23.9,0.825,0.223
SSDP+-pn-freq-2_binary,alon,7,23.9,0.775,0.21
SSDP+-pn-freq-2_binary,alon,8,23.9,0.825,0.207
SSDP+-pn-freq-2_binary,alon,9,23.9,0.775,0.201
SSDP+-pn-freq-2_binary,alon,10,23.8,0.85,0.22
SMHDD-pn-freq-2_binary,alon,1,23.8,0.8,0.138
SMHDD-pn-freq-2_binary,alon,2,23.9,0.825,0.077
SMHDD-pn-freq-2_binary,alon,3,24.0,0.85,0.061
SMHDD-pn-freq-2_binary,alon,4,23.9,0.875,0.07
SMHDD-pn-freq-2_binary,alon,5,23.9,0.8,0.058
SMHDD-pn-freq-2_binary,alon,6,23.9,0.825,0.06
SMHDD-pn-freq-2_binary,alon,7,23.9,0.775,0.055
SMHDD-pn-freq-2_binary,alon,8,23.9,0.825,0.054
SMHDD-pn-freq-2_binary,alon,9,23.9,0.775,0.052
SMHDD-pn-freq-2_binary,alon,10,23.8,0.85,0.068
SD-pn-freq-2_binary,burczynski,1,32.9,0.9322033898305084,6.419
SD-pn-freq-2_binary,burczynski,2,32.9,0.9322033898305084,6.59
SD-pn-freq-2_binary,burczynski,3,32.9,0.9322033898305084,6.52
SD-pn-freq-2_binary,burczynski,4,32.9,0.9322033898305084,6.593
SD-pn-freq-2_binary,burczynski,5,32.9,0.9322033898305084,6.593
SD-pn-freq-2_binary,burczynski,6,32.9,0.9322033898305084,6.687
SD-pn-freq-2_binary,burczynski,7,32.9,0.9322033898305084,6.488
SD-pn-freq-2_binary,burczynski,8,32.9,0.9322033898305084,6.554
SD-pn-freq-2_binary,burczynski,9,32.9,0.9322033898305084,6.575
SD-pn-freq-2_binary,burczynski,10,32.9,0.9322033898305084,6.552
SSDP+-pn-freq-2_binary,burczynski,1,37.5,0.864406779661017,8.545
SSDP+-pn-freq-2_binary,burczynski,2,37.4,0.864406779661017,8.906
SSDP+-pn-freq-2_binary,burczynski,3,37.3,0.8813559322033898,8.828
SSDP+-pn-freq-2_binary,burczynski,4,37.4,0.864406779661017,9.024
SSDP+-pn-freq-2_binary,burczynski,5,37.4,0.847457627118644,8.72
SSDP+-pn-freq-2_binary,burczynski,6,37.4,0.847457627118644,9.03
SSDP+-pn-freq-2_binary,burczynski,7,37.4,0.864406779661017,8.827
SSDP+-pn-freq-2_binary,burczynski,8,37.5,0.9491525423728814,9.691
SSDP+-pn-freq-2_binary,burczynski,9,37.5,0.864406779661017,8.504
SSDP+-pn-freq-2_binary,burczynski,10,37.3,0.9152542372881356,8.231
SMHDD-pn-freq-2_binary,burczynski,1,37.5,0.864406779661017,1.502
SMHDD-pn-freq-2_binary,burczynski,2,37.4,0.864406779661017,1.618
SMHDD-pn-freq-2_binary,burczynski,3,37.3,0.8813559322033898,1.578
SMHDD-pn-freq-2_binary,burczynski,4,37.4,0.864406779661017,1.619
SMHDD-pn-freq-2_binary,burczynski,5,37.4,0.847457627118644,1.534
SMHDD-pn-freq-2_binary,burczynski,6,37.4,0.847457627118644,1.744
SMHDD-pn-freq-2_binary,burczynski,7,37.4,0.864406779661017,1.574
SMHDD-pn-freq-2_binary,burczynski,8,37.5,0.9491525423728814,1.833
SMHDD-pn-freq-2_binary,burczynski,9,37.5,0.864406779661017,1.581
SMHDD-pn-freq-2_binary,burczynski,10,37.3,0.9152542372881356,1.455
SD-pn-freq-2_binary,chiaretti,1,38.5,0.8783783783783784,3.308
SD-pn-freq-2_binary,chiaretti,2,38.5,0.8783783783783784,3.441
SD-pn-freq-2_binary,chiaretti,3,38.5,0.8783783783783784,3.422
SD-pn-freq-2_binary,chiaretti,4,38.5,0.8783783783783784,3.425
SD-pn-freq-2_binary,chiaretti,5,38.5,0.8783783783783784,3.466
SD-pn-freq-2_binary,chiaretti,6,38.5,0.8783783783783784,3.433
SD-pn-freq-2_binary,chiaretti,7,38.5,0.8783783783783784,3.459
SD-pn-freq-2_binary,chiaretti,8,38.5,0.8783783783783784,3.47
SD-pn-freq-2_binary,chiaretti,9,38.5,0.8783783783783784,3.483
SD-pn-freq-2_binary,chiaretti,10,38.5,0.8783783783783784,3.472
SSDP+-pn-freq-2_binary,chiaretti,1,42.2,0.7027027027027027,3.875
SSDP+-pn-freq-2_binary,chiaretti,2,42.2,0.7027027027027027,4.27
SSDP+-pn-freq-2_binary,chiaretti,3,42.2,0.7027027027027027,4.183
SSDP+-pn-freq-2_binary,chiaretti,4,42.2,0.7162162162162162,4.312
SSDP+-pn-freq-2_binary,chiaretti,5,42.2,0.7162162162162162,4.204
SSDP+-pn-freq-2_binary,chiaretti,6,42.2,0.7027027027027027,4.46
SSDP+-pn-freq-2_binary,chiaretti,7,42.2,0.7162162162162162,4.01
SSDP+-pn-freq-2_binary,chiaretti,8,42.2,0.7027027027027027,4.244
SSDP+-pn-freq-2_binary,chiaretti,9,42.2,0.7162162162162162,3.974
SSDP+-pn-freq-2_binary,chiaretti,10,42.2,0.7027027027027027,4.021
SMHDD-pn-freq-2_binary,chiaretti,1,42.2,0.7027027027027027,0.667
